year_month,source,tech_keyword,industry_keyword,article_count,total_articles_that_month,keyword_pct
2023-01,HackerNews,LLM,,1,13,7.7
2023-01,HackerNews,Infrastructure,,1,13,7.7
2023-01,TechCrunch,,FinTech,14,219,6.4
2023-01,TechCrunch,Robotics,,7,219,3.2
2023-01,TechCrunch,,HealthTech,6,219,2.7
2023-01,TechCrunch,,DigitalHealth,2,219,0.9
2023-01,TechCrunch,,Ecommerce,1,219,0.5
2023-01,TechCrunch,Cybersecurity,,9,219,4.1
2023-01,TechCrunch,Web3,,22,219,10.0
2023-01,TechCrunch,GenAI,,27,219,12.3
2023-01,TechCrunch,LLM,,3,219,1.4
2023-01,TechCrunch,,ClimateTech,4,219,1.8
2023-01,TechCrunch,,SpaceTech,1,219,0.5
2023-01,TechCrunch,QuantumTech,,2,219,0.9
2023-01,TechCrunch,Semiconductors,,12,219,5.5
2023-01,TechCrunch,,PropTech,1,219,0.5
2023-01,TechCrunch,,DefenseTech,2,219,0.9
2023-01,TechCrunch,,CreatorEconomy,1,219,0.5
2023-01,TechCrunch,PhysicalAI,,2,219,0.9
2023-01,TechCrunch,,MobilityTech,1,219,0.5
2023-01,TechCrunch,ComputerVision,,2,219,0.9
2023-01,TechCrunch,Infrastructure,,1,219,0.5
2023-01,TechCrunch,,BioTech,1,219,0.5
2023-02,HackerNews,GenAI,,2,31,6.5
2023-02,HackerNews,Robotics,,2,31,6.5
2023-02,HackerNews,Web3,,1,31,3.2
2023-02,HackerNews,,SpaceTech,1,31,3.2
2023-02,TechCrunch,,HealthTech,3,238,1.3
2023-02,TechCrunch,,BioTech,1,238,0.4
2023-02,TechCrunch,Web3,,17,238,7.1
2023-02,TechCrunch,,MedTech,1,238,0.4
2023-02,TechCrunch,,DigitalHealth,1,238,0.4
2023-02,TechCrunch,,ClimateTech,2,238,0.8
2023-02,TechCrunch,,Ecommerce,5,238,2.1
2023-02,TechCrunch,GenAI,,32,238,13.4
2023-02,TechCrunch,Infrastructure,,4,238,1.7
2023-02,TechCrunch,,FinTech,7,238,2.9
2023-02,TechCrunch,Robotics,,4,238,1.7
2023-02,TechCrunch,,DefenseTech,3,238,1.3
2023-02,TechCrunch,LLM,,17,238,7.1
2023-02,TechCrunch,,GameTech,1,238,0.4
2023-02,TechCrunch,Semiconductors,,2,238,0.8
2023-02,TechCrunch,Cybersecurity,,20,238,8.4
2023-02,TechCrunch,PhysicalAI,,1,238,0.4
2023-02,TechCrunch,,MobilityTech,1,238,0.4
2023-03,HackerNews,GenAI,,2,29,6.9
2023-03,HackerNews,LLM,,2,29,6.9
2023-03,HackerNews,AgentAI,,2,29,6.9
2023-03,HackerNews,Robotics,,1,29,3.4
2023-03,HackerNews,Cybersecurity,,1,29,3.4
2023-03,TechCrunch,,FinTech,19,250,7.6
2023-03,TechCrunch,GenAI,,40,250,16.0
2023-03,TechCrunch,LLM,,21,250,8.4
2023-03,TechCrunch,Cybersecurity,,11,250,4.4
2023-03,TechCrunch,,Enterprise,2,250,0.8
2023-03,TechCrunch,Infrastructure,,6,250,2.4
2023-03,TechCrunch,Web3,,15,250,6.0
2023-03,TechCrunch,Robotics,,6,250,2.4
2023-03,TechCrunch,,Ecommerce,3,250,1.2
2023-03,TechCrunch,,ClimateTech,2,250,0.8
2023-03,TechCrunch,Semiconductors,,5,250,2.0
2023-03,TechCrunch,,MedTech,2,250,0.8
2023-03,TechCrunch,,HealthTech,4,250,1.6
2023-03,TechCrunch,,DefenseTech,5,250,2.0
2023-03,TechCrunch,ComputerVision,,1,250,0.4
2023-03,TechCrunch,,DigitalHealth,1,250,0.4
2023-03,TechCrunch,PhysicalAI,,2,250,0.8
2023-04,HackerNews,LLM,,2,23,8.7
2023-04,HackerNews,GenAI,,2,23,8.7
2023-04,HackerNews,Semiconductors,,1,23,4.3
2023-04,HackerNews,Robotics,,1,23,4.3
2023-04,HackerNews,Web3,,1,23,4.3
2023-04,TechCrunch,GenAI,,48,235,20.4
2023-04,TechCrunch,Semiconductors,,5,235,2.1
2023-04,TechCrunch,QuantumTech,,3,235,1.3
2023-04,TechCrunch,,BioTech,2,235,0.9
2023-04,TechCrunch,,EdTech,1,235,0.4
2023-04,TechCrunch,,FinTech,8,235,3.4
2023-04,TechCrunch,,ClimateTech,7,235,3.0
2023-04,TechCrunch,,Ecommerce,4,235,1.7
2023-04,TechCrunch,Robotics,,10,235,4.3
2023-04,TechCrunch,LLM,,21,235,8.9
2023-04,TechCrunch,,HealthTech,5,235,2.1
2023-04,TechCrunch,Infrastructure,,2,235,0.9
2023-04,TechCrunch,,CreatorEconomy,1,235,0.4
2023-04,TechCrunch,AgentAI,,1,235,0.4
2023-04,TechCrunch,Cybersecurity,,16,235,6.8
2023-04,TechCrunch,,DefenseTech,3,235,1.3
2023-04,TechCrunch,Web3,,8,235,3.4
2023-04,TechCrunch,,PropTech,1,235,0.4
2023-04,TechCrunch,,AgriTech,1,235,0.4
2023-04,TechCrunch,,SpaceTech,1,235,0.4
2023-05,HackerNews,GenAI,,2,31,6.5
2023-05,HackerNews,LLM,,2,31,6.5
2023-05,HackerNews,Semiconductors,,2,31,6.5
2023-05,HackerNews,Cybersecurity,,1,31,3.2
2023-05,TechCrunch,GenAI,,55,233,23.6
2023-05,TechCrunch,Cybersecurity,,12,233,5.2
2023-05,TechCrunch,Semiconductors,,9,233,3.9
2023-05,TechCrunch,Robotics,,3,233,1.3
2023-05,TechCrunch,Web3,,13,233,5.6
2023-05,TechCrunch,,HealthTech,4,233,1.7
2023-05,TechCrunch,,Ecommerce,2,233,0.9
2023-05,TechCrunch,Infrastructure,,6,233,2.6
2023-05,TechCrunch,,BioTech,1,233,0.4
2023-05,TechCrunch,,FinTech,7,233,3.0
2023-05,TechCrunch,,ClimateTech,2,233,0.9
2023-05,TechCrunch,LLM,,33,233,14.2
2023-05,TechCrunch,ComputerVision,,2,233,0.9
2023-05,TechCrunch,,DefenseTech,3,233,1.3
2023-05,TechCrunch,,SpaceTech,1,233,0.4
2023-06,HackerNews,Semiconductors,,1,24,4.2
2023-06,HackerNews,LLM,,2,24,8.3
2023-06,HackerNews,Web3,,2,24,8.3
2023-06,HackerNews,GenAI,,4,24,16.7
2023-06,HackerNews,AgentAI,,1,24,4.2
2023-06,TechCrunch,PhysicalAI,,1,236,0.4
2023-06,TechCrunch,,EdTech,1,236,0.4
2023-06,TechCrunch,,FinTech,12,236,5.1
2023-06,TechCrunch,,ClimateTech,3,236,1.3
2023-06,TechCrunch,GenAI,,35,236,14.8
2023-06,TechCrunch,LLM,,20,236,8.5
2023-06,TechCrunch,Infrastructure,,5,236,2.1
2023-06,TechCrunch,Semiconductors,,9,236,3.8
2023-06,TechCrunch,Web3,,11,236,4.7
2023-06,TechCrunch,,CreatorEconomy,1,236,0.4
