startup_name,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Delta Labs AG,2026-04-02,2026,4.4M EUR,seed round,Seed,"Cusp Capital, Auxxo Female Catalyst Fund",,,2022.0,,,Switzerland,AI/ML,,Unknown,"AI, Analytics",
Artificialy SA,2026-04-02,2026,,strategic investment,Strategic Investment,UBS,Lugano,TI,2020.0,,,Switzerland,FinTech,,Unknown,"AI, BioTech, FinTech",
Cohaga,2026-04-02,2026,undisclosed,Kapitalerhöhung,Undisclosed,,St. Gallen,SG,2020.0,30.0,,Switzerland,Enterprise SaaS,,B2B-SaaS,SaaS,
Covalo AG,2026-04-02,2026,3.5M EUR,Seed-Erweiterungsrunde,Seed,"Hi inov und mit Beteiligung bestehender Investoren, Hi inov sowie mit Beteiligung der bestehenden Investoren HTGF und seed",Zurich,ZH,2024.0,,,Switzerland,Other,,Unknown,"AI, Enterprise, Analytics",Automation
Lobby AG,2026-04-01,2026,2.2M USD,,Undisclosed,Founderful,,,2025.0,,,Switzerland,AI/ML,,Unknown,"AI, Enterprise, Automation",
OOMNIUM AG,2026-04-01,2026,0.87M CHF,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,AI,
DeltaSpark AG,2026-03-31,2026,0.15M CHF,,Award,,,,,,,Switzerland,CleanTech,,Unknown,"AI, ClimateTech, Analytics",
Starmind International AG,2026-03-31,2026,60M USD,,Grant,,,,2010.0,,,Switzerland,AI/ML,,Unknown,"AI, GenAI, Enterprise","Analytics, Automation"
Gaisbock AG,2026-03-30,2026,,,Undisclosed,,Sarnen,OW,2023.0,,,Switzerland,Other,,Unknown,AI,
MIROS Technology SA,2026-03-30,2026,1M CHF,Pre-Seed,Pre-Seed,,Lausanne,VD,2023.0,,,Switzerland,Enterprise SaaS,,Unknown,"AI, Analytics",
EYEFITU AG,2026-03-30,2026,0.35M CHF,,Award,,Zurich,ZH,2013.0,,,Switzerland,AI/ML,,B2B-SaaS,"AI, SaaS, Analytics",
Plair SA,2026-03-27,2026,1M CHF,,Award,,,,,,,Switzerland,BioTech,,Unknown,"AI, HealthTech",
Eturnity AG,2026-03-27,2026,,,Award,,,,2015.0,,,Switzerland,CleanTech,,Unknown,"AI, ClimateTech, Automation",
Kielo Research GmbH,2026-03-27,2026,,,Undisclosed,,Zug,ZG,2022.0,,,Switzerland,BioTech,,Unknown,"HealthTech, Analytics",
SolidWatts SA,2026-03-26,2026,1.8M CHF,Seed Round,Seed,,,,,,,Switzerland,BioTech,,Unknown,"AI, ClimateTech",
Coteries SA,2026-03-26,2026,,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,"AI, HealthTech",
MESH,2026-03-26,2026,3.8M USD,seed round,Seed,"ABB Robotics Ventures, Apprecia Capital, Shimizu Corporation",,,2022.0,,,Switzerland,Robotics,,Unknown,"AI, Automation",
Miraex SA,2026-03-25,2026,,strategic investment,Strategic Investment,,,,,,,Switzerland,Other,,Unknown,AI,
PAVE Space SA,2026-03-25,2026,40M USD,,Undisclosed,"Visionaries Club, Creandum, Lombard Odier Investment Managers, Atlantic Labs, Sistafund",Lausanne,VD,2024.0,,,Switzerland,Other,,Unknown,"AI, ClimateTech",
NanoZymeX,2026-03-25,2026,0.15M CHF,,Award,,,,,,,Switzerland,BioTech,,Unknown,"AI, BioTech, Analytics",
,2026-03-24,2026,20M USD,pre-seed,Pre-Seed,"European entrepreneurial families, supported by successful climate",,,2022.0,,,Switzerland,CleanTech,,Unknown,"AI, ClimateTech, Analytics",
,2026-03-24,2026,,,,,Zurich,ZH,,,,Switzerland,Other,,Unknown,,
