startup_name,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Delta Labs AG,2026-04-02,2026,4.4M EUR,seed round,Seed,"Cusp Capital, Auxxo Female Catalyst Fund",,,2022.0,,,Switzerland,Other,,B2B-Services,,AI
Artificialy SA,2026-04-02,2026,,strategic investment,Strategic Investment,UBS,Lugano,TI,2020.0,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech","FinTech, Manufacturing"
Cohaga AG,2026-04-02,2026,undisclosed,Kapitalerhöhung,Undisclosed,,St. Gallen,SG,2020.0,30.0,,Switzerland,Enterprise SaaS,,B2B-SaaS,"SaaS, Enterprise",SaaS
Covalo AG,2026-04-02,2026,3.5M EUR,Seed,Seed,"Hi inov und mit Beteiligung bestehender Investoren, Hi inov sowie mit Beteiligung der bestehenden Investoren HTGF und seed",Zurich,ZH,2024.0,,,Switzerland,Other,LegalTech,B2C,,
Lobby AG,2026-04-01,2026,2.2M USD,,Undisclosed,Founderful,,,2025.0,,,Switzerland,FinTech,,B2B-Services,Automation,AI
OOMNIUM AG,2026-04-01,2026,0.87M CHF,,Undisclosed,,,,,,,Switzerland,FinTech,,Unknown,FinTech,
DeltaSpark AG,2026-03-31,2026,0.15M CHF,seed,Seed,,,,,,,Switzerland,CleanTech,Carbon & Offsetting,Deep Tech / IP,ClimateTech,"ClimateTech, Manufacturing"
Starmind International AG,2026-03-31,2026,60M USD,,Grant,,,,2010.0,,,Switzerland,AI/ML,"Foundation Models, Applied AI",B2B-Services,"AI, Automation",GenAI
Gaisbock AG,2026-03-30,2026,,,Undisclosed,,Sarnen,OW,2023.0,,,Switzerland,Other,,Unknown,,
MIROS Technology SA,2026-03-30,2026,1M CHF,Pre-Seed,Pre-Seed,,Lausanne,VD,2023.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,PropTech
,2026-03-30,2026,0.35M CHF,,Award,,Zurich,ZH,2013.0,,,Switzerland,Enterprise SaaS,,B2B-SaaS,"SaaS, Enterprise",Ecommerce
Plair SA,2026-03-27,2026,1M CHF,,Award,,,,,,,Switzerland,BioTech,"Drug Discovery, Diagnostics",Deep Tech / IP,BioTech,
Eturnity AG,2026-03-27,2026,,,Award,,,,2015.0,,,Switzerland,CleanTech,Solar,Deep Tech / IP,ClimateTech,
Kielo Research GmbH,2026-03-27,2026,,,Undisclosed,,Zug,ZG,2022.0,,,Switzerland,BioTech,Oncology,Deep Tech / IP,Analytics,HealthTech
SolidWatts SA,2026-03-26,2026,1.8M CHF,Seed Round,Seed,,,,,,,Switzerland,BioTech,Drug Discovery,Deep Tech / IP,"BioTech, HealthTech",ClimateTech
Coteries SA,2026-03-26,2026,,,Undisclosed,,,,,,,Switzerland,Other,,Unknown,,
MESH AG,2026-03-26,2026,3.8M USD,seed round,Seed,"ABB Robotics Ventures, Apprecia Capital, Shimizu Corporation",,,2022.0,,,Switzerland,FinTech,,B2B-Hardware,Automation,Robotics
Miraex SA,2026-03-25,2026,,strategic investment,Strategic Investment,,,,,,,Switzerland,FinTech,,B2B-Hardware,FinTech,DeepTech
PAVE Space SA,2026-03-25,2026,40M USD,seed,Seed,"Visionaries Club, Creandum, Lombard Odier Investment Managers, Atlantic Labs, Sistafund",Lausanne,VD,2024.0,,,Switzerland,FinTech,,Unknown,FinTech,
,2026-03-25,2026,0.15M CHF,seed,Seed,,,,,,,Switzerland,BioTech,,Deep Tech / IP,BioTech,
,2026-03-24,2026,20M USD,pre-seed,Pre-Seed,"European entrepreneurial families, supported by successful climate",,,2022.0,,,Switzerland,CleanTech,"Solar, Carbon & Offsetting",Deep Tech / IP,ClimateTech,ClimateTech
,2026-03-24,2026,,,,,Zurich,ZH,,,,Switzerland,Other,,Unknown,,
Kandou AI Holding AG,2026-03-23,2026,225M USD,Series A,Series A,,,,,,,Switzerland,BioTech,,B2B-Hardware,"BioTech, HealthTech",
Umlaut.bio GmbH,2026-03-23,2026,3M EUR,pre-seed round,Pre-Seed,,,,,,,Switzerland,BioTech,"Drug Discovery, Oncology",Deep Tech / IP,BioTech,GenAI
EVIS Bioscience AG,2026-03-20,2026,0.31M CHF,pre-seed round,Pre-Seed,,Zurich,ZH,,,,Switzerland,BioTech,,Deep Tech / IP,"BioTech, HealthTech",
,2026-03-20,2026,,,Grant,"Swiss national councillor, former entrepreneur Islam Alijaj, serial entrepreneur, investor Hermann Arnold, Louise Maunoir",,,,,,Switzerland,FinTech,,B2B-Services,FinTech,
RIVR Technologies AG,2026-03-20,2026,22M USD,,,,,,2024.0,,,Switzerland,FinTech,,B2B-Hardware,FinTech,Robotics
