startup_name,publication_date,year,funding_amount,funding_round_raw,funding_round,investor_names,city,canton,founded_year,employees,website,location,industry,sub_industry,business_model_type,primary_keywords,secondary_keywords
Delta Labs AG,2026-04-02,2026,4.4M EUR,seed round,Seed,"Cusp Capital, Auxxo Female Catalyst Fund",Zurich,ZH,2022.0,,,Switzerland,AI/ML,"Applied AI, Simulation",B2B-SaaS,"AI, GenAI",Enterprise
Artificialy SA,2025-10-17,2025,undisclosed,strategic investment,Strategic Investment,UBS,Lugano,TI,2020.0,,,Switzerland,AI/ML,"Applied AI, AI Infrastructure",B2B-SaaS,"AI, Enterprise",Infrastructure
Dexterous Endoscopes Sàrl,2026-04-02,2026,0.4M CHF,award,Award,"Lenz & Staehelin, Venture Kick, Canton of Vaud",Lausanne,VD,,,,Switzerland,MedTech,"Medical Devices, Surgical Tech",B2B-Hardware,"HealthTech, DeepTech",Robotics
PreciMune,2026-04-02,2026,0.005M CHF,award,Award,"KT UNIL-CHUV, UNITEC",Lausanne,VD,,,,Switzerland,BioTech,"Diagnostics, Oncology",Deep Tech / IP,"BioTech, HealthTech",Analytics
Impli AG,2026-04-02,2026,,award,Award,H4,,,,,,Switzerland,MedTech,"Patient Monitoring, Health Data",B2B-Hardware,"HealthTech, IoT",WearableTech
MoleSense Sàrl,2026-04-02,2026,0.1M CHF,award,Award,"CSEM, FIT",Lausanne,VD,,,,Switzerland,MedTech,"Patient Monitoring, Health Data",B2B-Hardware,"HealthTech, IoT",WearableTech
cohaga AG,2024-01-11,2024,undisclosed,Kapitalerhöhung,Undisclosed,Business Angels,St. Gallen,SG,2020.0,30.0,,Switzerland,Enterprise SaaS,"Marketing Tech, Lead Generation",B2B-SaaS,"SaaS, AI",Analytics
Covalo AG,2024-12-04,2024,3.5M EUR,Seed-Erweiterungsrunde,Seed Extension,"Hi inov, HTGF, seed+speed Ventures",Zurich,ZH,2021.0,,,Switzerland,Enterprise SaaS,"Product Data, Supply Chain",Marketplace,"SaaS, AI",Analytics
,2020-10-21,2020,,,,,,,,,,Switzerland,Other,,Unknown,,
dEEGtal Insights SA,2025-12-17,2025,4.5M CHF,seed round,Seed,,Geneva,GE,,,,Switzerland,HealthTech,"Clinical Decision Support, Health Data",B2B-SaaS,"AI, HealthTech",Analytics
,2026-04-01,2026,,,,,,,,,,Switzerland,Other,,Unknown,,
Lobby AG,2025-06-02,2025,2.2M USD,funding round,Undisclosed,Founderful,Zurich,ZH,2025.0,,,Switzerland,B2C Tech,"Travel Tech, Booking",B2B-SaaS,"AI, SaaS",Analytics
,2025-08-19,2025,,,,,,,,,,Switzerland,Other,,Unknown,,
