Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Lobby,AI/ML,AI/ML,B2B,,2026,2.2M USD,Undisclosed,Series A,,Switzerland,,,,,
DeltaSpark,AI/ML,Climate Tech,B2B,Cleantech,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Plair,AI/ML,AI/ML,B2B,,2026,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
PANDA,HEALTHCARE,Drug Discovery,Unknown,Biotech,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
SolidWatts,AI/ML,AI/ML,B2B,"Manufacturing, TypeScript",2026,1.8M CHF,Undisclosed,Series A,,Switzerland,,,,,
PAVE,AI/ML,AI/ML,B2B,,2026,40.0M USD,Undisclosed,Growth,,Switzerland,,,,,
NanoZymeX,AI/ML,AI/ML,B2B,Biotech,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Scait,AI/ML,AI/ML,B2B,AI,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Kandou,AI/ML,AI/ML,B2B,AI,2026,225.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Inside,Unknown,,Unknown,,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Rivia,HEALTHCARE,Drug Discovery,Unknown,"AI, Healthtech, Venture Capital",2026,15.0M USD,Series A,Series A,,Switzerland,,,,,
Rhonexum,Unknown,WealthTech,Unknown,,2026,1.0M USD,Funding Round,Series A,,Switzerland,,,,,
Dexterous,AI/ML,AI/ML,B2B,Biotech,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Foldcast,AI/ML,Climate Tech,B2B,Cleantech,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Alpi,FINTECH,Insurance,B2B,"AI, Fintech, Robotics",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Seprify,AI/ML,AI/ML,B2B,,2026,12.25M CHF,Undisclosed,Series C,,Switzerland,,,,,
RAROG,AI/ML,AI/ML,B2B,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Pregnolia,Unknown,,Unknown,,2026,,Funding Round,Early Stage,,Switzerland,,,,,
Alithea,Unknown,Biotech,Unknown,Biotech,2026,6.9M CHF,Seed,Seed,,Switzerland,,,,,
RheoCarti,AI/ML,Medical Devices,B2B,Go-to-Market,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Maus,AI/ML,Autonomous,B2B,"Mobility, Robotics, TypeScript",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Doxomed,HEALTHCARE,SaaS,B2B,SaaS,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Xsensio,HEALTHCARE,MedTech,Unknown,"Healthtech, Venture Capital",2026,7.0M USD,Series A,Series A,,Switzerland,,,,,
LESS,AI/ML,AI/ML,B2B,Venture Capital,2026,22.0M USD,Series C,Series C,,Switzerland,,,,,
Fainite,AI/ML,AI/ML,B2B,AI,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Verretex,Unknown,Circular Economy,Unknown,,2026,1.2M CHF,Undisclosed,Series A,,Switzerland,,,,,
Clee,HEALTHCARE,AI/ML,Unknown,Venture Capital,2026,,Seed,Seed,,Switzerland,,,,,
Swiss,Unknown,,Unknown,,2026,10.0B CHF,Undisclosed,Growth,,Switzerland,,,,,
Ranked,FINTECH,Payments,B2B,,2026,,Venture Kick Grant,Pre-Seed,"UBS, Venture Kick",Switzerland,,,,,
STIMIT,HEALTHCARE,Digital Health,Unknown,,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Baio,SOFTWARE,SaaS,B2B,"AI, SaaS",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Dental,AI/ML,AI/ML,B2B,Robotics,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Baxiva,AI/ML,Electric Vehicles,B2B,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Rapidata,AI/ML,Analytics,B2B,AI,2026,8.5M USD,Undisclosed,Series B,Accel,Switzerland,,,,,
Optiml,AI/ML,AI/ML,B2B,"AI, PropTech",2026,8.0M EUR,Undisclosed,Series B,,Switzerland,,,,,
CompPair,AI/ML,AI/ML,B2B,,2026,,Funding Round,Early Stage,Accel,Switzerland,,,,,
ALP,SOFTWARE,SaaS,B2B,"AI, SaaS, TypeScript",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Demo,Unknown,,Unknown,,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Winduction,AI/ML,AI/ML,B2B,,2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
OOVIE,AI/ML,AI/ML,B2B,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Subatron,AI/ML,AI/ML,B2B,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
PIN,SOFTWARE,AI/ML,B2B,"AI, TypeScript",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Augetik,AI/ML,AI/ML,B2B,Manufacturing,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Rhonexum,AI/ML,Electric Vehicles,B2B,,2026,40.0K CHF,Undisclosed,Pre-Seed,"Accel, Venture Kick",Switzerland,,,,,
Binabik,AI/ML,AI/ML,B2B,AI,2026,40.0K CHF,Undisclosed,Pre-Seed,"Accel, Venture Kick",Switzerland,,,,,
Two,AI/ML,AI/ML,B2B,,2026,,Funding Round,Early Stage,Venture Kick,Switzerland,,,,,
Chiral,AI/ML,Payments,B2B,,2026,12.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Haelixa,Unknown,,Unknown,,2026,2.0M EUR,Undisclosed,Series A,,Switzerland,,,,,
SunWays,AI/ML,AI/ML,B2B,Cleantech,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
DiploTools,AI/ML,Payments,B2B,AI,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Invested,AI/ML,AI/ML,B2B,,2026,1.25B CHF,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
SurgExplore,SOFTWARE,Medical Devices,B2B,"AI, SaaS",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Innunity,HEALTHCARE,Drug Discovery,Unknown,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Immitra,AI/ML,Drug Discovery,B2B,"Biotech, Scalable",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Under,AI/ML,Cloud,B2B,Biotech,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
SWISSto12,AI/ML,AI/ML,B2B,Manufacturing,2026,100.0M EUR,Undisclosed,Growth,,Switzerland,,,,,
DistalMotion,Unknown,WealthTech,Unknown,,2026,,Funding Round,Early Stage,,Switzerland,,,,,
FluoSphera,HEALTHCARE,MedTech,B2B,"Healthtech, SaaS",2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
Nuncs,Unknown,,Unknown,,2026,2.15M USD,Undisclosed,Series A,,Switzerland,,,,,
Taskbase,EDUCATION,Crypto,B2B,Blockchain,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
SCALE,AI/ML,AI/ML,B2B,IoT,2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DNA,HEALTHCARE,Digital Health,Unknown,"AI, Biotech, Healthtech, Robotics",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
