startup_name,industry,keyword,layer_type,funding_chf,has_funding,quarter,publication_date,canton,city
Swiss Wood Solutions AG,FinTech,FinTech,industry_layer,,False,2023-Q1,2023-01-02,,
,HealthTech,HealthTech,industry_layer,,False,2023-Q1,2023-01-03,ZH,Zurich
,B2C Tech,FinTech,industry_layer,,False,2023-Q1,2023-01-04,,
Biognosys AG,FinTech,FinTech,industry_layer,,False,2023-Q1,2023-01-04,,
BioVersys AG,BioTech,BioTech,industry_layer,8.4,True,2023-Q1,2023-01-05,,
Avrios International AG,CleanTech,ClimateTech,industry_layer,,False,2023-Q1,2023-01-05,ZH,Zurich
IMburse AG,FinTech,FinTech,industry_layer,,False,2023-Q1,2023-01-06,ZH,Zurich
SwissDrones,CleanTech,ClimateTech,industry_layer,9.0,True,2023-Q1,2023-01-06,,
DAIMANI AG,FinTech,FinTech,industry_layer,1.6,True,2023-Q1,2023-01-09,,
TONI Digital Insurance Solutions AG,FinTech,FinTech,industry_layer,,False,2023-Q1,2023-01-09,ZH,Zurich
,FinTech,FinTech,industry_layer,5.0,True,2023-Q1,2023-01-09,,
Crypto,FinTech,FinTech,industry_layer,0.9,True,2023-Q1,2023-01-10,VD,Lausanne
Relio AG,FinTech,FinTech,industry_layer,3.0,True,2023-Q1,2023-01-10,,
RaceAnalyse AG,SpaceTech,SpaceTech,industry_layer,,False,2023-Q1,2023-01-10,,
MPC Therapeutics SA,BioTech,BioTech,industry_layer,1.5,True,2023-Q1,2023-01-10,,
Medyria AG,MedTech,MedTech,industry_layer,3.7,True,2023-Q1,2023-01-11,ZH,Winterthur
,MedTech,MedTech,industry_layer,0.1,True,2023-Q1,2023-01-12,,
Planny SA,Enterprise SaaS,Enterprise,industry_layer,,False,2023-Q1,2023-01-13,,
Open Forest Protocol,FinTech,FinTech,industry_layer,3.69,True,2023-Q1,2023-01-13,ZG,Zug
Klima-Investor und AMAG,CleanTech,ClimateTech,industry_layer,,False,2023-Q1,2023-01-16,,
Cerchia AG,FinTech,FinTech,industry_layer,1.3,True,2023-Q1,2023-01-16,ZG,Zug
Yeekatee AG,FinTech,FinTech,industry_layer,1.71,True,2023-Q1,2023-01-18,ZH,Zurich
NewCo Switzerland SA,Enterprise SaaS,Enterprise,industry_layer,,False,2023-Q1,2023-01-18,,
ClearSpace SA,CleanTech,ClimateTech,industry_layer,25.365,True,2023-Q1,2023-01-19,,
Everon AG,FinTech,FinTech,industry_layer,2.5,True,2023-Q1,2023-01-19,ZH,Zurich
