quarter,AgriTech,BioTech,ClimateTech,Cybersecurity,Ecommerce,EdTech,Enterprise,FinTech,GenAI,HealthTech,MedTech,PropTech,Robotics,SpaceTech,TOTAL
2023-Q1,1,32,16,0,0,0,5,46,2,6,6,2,1,2,119
2023-Q2,1,25,20,0,2,0,1,29,3,3,3,2,1,0,90
2023-Q3,1,22,13,1,1,2,3,33,1,2,3,0,0,0,82
2023-Q4,0,31,18,2,2,1,1,38,1,6,2,1,2,1,106
2024-Q1,2,43,7,0,1,2,3,23,1,3,9,1,1,0,96
2024-Q2,1,31,13,0,1,0,2,40,4,2,3,1,3,1,102
2024-Q3,2,32,11,1,2,0,3,37,3,2,9,1,2,0,105
2024-Q4,1,30,17,0,0,0,3,33,5,3,5,0,1,0,98
2025-Q1,1,36,15,0,1,0,1,39,3,6,3,0,5,0,110
2025-Q2,1,24,4,0,3,0,0,20,1,5,7,1,3,0,69
2025-Q3,0,34,12,0,3,1,1,51,5,1,8,2,4,0,122
2025-Q4,3,35,10,2,0,0,1,41,8,5,3,4,5,0,117
2026-Q1,0,38,13,0,3,0,4,35,5,4,4,0,0,0,106
2026-Q2,0,1,0,0,0,0,1,1,2,0,0,0,0,0,5
