quarter,AgriTech,BioTech,ClimateTech,Cybersecurity,Ecommerce,EdTech,Enterprise,FinTech,GenAI,HealthTech,MedTech,PropTech,Robotics,SpaceTech,TOTAL
2023-Q1,0.8,26.9,13.4,0.0,0.0,0.0,4.2,38.7,1.7,5.0,5.0,1.7,0.8,1.7,100.0
2023-Q2,1.1,27.8,22.2,0.0,2.2,0.0,1.1,32.2,3.3,3.3,3.3,2.2,1.1,0.0,100.0
2023-Q3,1.2,26.8,15.9,1.2,1.2,2.4,3.7,40.2,1.2,2.4,3.7,0.0,0.0,0.0,100.0
2023-Q4,0.0,29.2,17.0,1.9,1.9,0.9,0.9,35.8,0.9,5.7,1.9,0.9,1.9,0.9,100.0
2024-Q1,2.1,44.8,7.3,0.0,1.0,2.1,3.1,24.0,1.0,3.1,9.4,1.0,1.0,0.0,100.0
2024-Q2,1.0,30.4,12.7,0.0,1.0,0.0,2.0,39.2,3.9,2.0,2.9,1.0,2.9,1.0,100.0
2024-Q3,1.9,30.5,10.5,1.0,1.9,0.0,2.9,35.2,2.9,1.9,8.6,1.0,1.9,0.0,100.0
2024-Q4,1.0,30.6,17.3,0.0,0.0,0.0,3.1,33.7,5.1,3.1,5.1,0.0,1.0,0.0,100.0
2025-Q1,0.9,32.7,13.6,0.0,0.9,0.0,0.9,35.5,2.7,5.5,2.7,0.0,4.5,0.0,100.0
2025-Q2,1.4,34.8,5.8,0.0,4.3,0.0,0.0,29.0,1.4,7.2,10.1,1.4,4.3,0.0,100.0
2025-Q3,0.0,27.9,9.8,0.0,2.5,0.8,0.8,41.8,4.1,0.8,6.6,1.6,3.3,0.0,100.0
2025-Q4,2.6,29.9,8.5,1.7,0.0,0.0,0.9,35.0,6.8,4.3,2.6,3.4,4.3,0.0,100.0
2026-Q1,0.0,35.8,12.3,0.0,2.8,0.0,3.8,33.0,4.7,3.8,3.8,0.0,0.0,0.0,100.0
2026-Q2,0.0,20.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,100.0
