year,rank,keyword,deals,market_share_pct
2023,1,FinTech,146,36.8
2023,2,BioTech,110,27.7
2023,3,ClimateTech,67,16.9
2023,4,HealthTech,17,4.3
2023,5,MedTech,14,3.5
2024,1,BioTech,136,33.9
2024,2,FinTech,133,33.2
2024,3,ClimateTech,48,12.0
2024,4,MedTech,26,6.5
2024,5,GenAI,13,3.2
2025,1,FinTech,151,36.1
2025,2,BioTech,129,30.9
2025,3,ClimateTech,41,9.8
2025,4,MedTech,21,5.0
2025,5,HealthTech,17,4.1
2026,1,BioTech,39,35.1
2026,2,FinTech,36,32.4
2026,3,ClimateTech,13,11.7
2026,4,GenAI,7,6.3
2026,5,Enterprise,5,4.5
