Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Names,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage,Data_Source
ALP,B2B,,,"ALP AI receives CHF 40,000 from Venture Kick to translate organoid-AI platform into pilots",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Advertima,B2B,,,,2026.0,,,VC Fund,Kundinnen und Kunden in Echtzeit analysiert,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Agora,B2B,,,,2026.0,2.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Aiving,B2B,,,,2026.0,2.0M CHF,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Alithea,B2B,,,,2026.0,6.9M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Alithea,B2B,,,CHF 6.9M seed round for Alithea Genomics to advance large-scale RNA sequencing,2026.0,6.9M CHF,Seed,Accelerator/Grant,,Switzerland,2026.0,Seed,,,Active,Venturekick
Alpi,FINTECH,,,"Alpi receives CHF 40,000 from Venture Kick to scale AI automation for insurance advisors",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Amazon,B2B,,,,2026.0,22.0M USD,,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
Audiospace,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Augetik,INDUSTRIALS,,,"Augetik receives CHF 40,000 from Venture Kick to scale industrial muon imaging deployment",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Auterion,B2B,,,,2026.0,130.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Awards,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Axmed,B2B,,,,2026.0,6.0M USD,Seed/Series A,VC Fund,Founderful Ventures,Switzerland,2026.0,Series A,,,Active,Startupticker
BESS,FINTECH,,,,2026.0,60.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Babylat,HEALTHCARE,,,,2026.0,0.8M CHF,,VC Fund,,Switzerland,2026.0,Pre-Seed,,,Active,Startupticker
