Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
UBS,FINTECH,FINANCIAL SERVICES,,"AI, Analytics, Biotech, Fintech, IoT, Manufacturing",2026.0,,,VC Fund,UBS,Switzerland,2026.0,Early Stage,,,Active
BIND,HEALTHCARE,SOFTWARE & PLATFORMS,,"Analytics, Biotech, Cloud, Healthtech, SaaS",2026.0,,,VC Fund,EPFL,Switzerland,2026.0,Early Stage,,,Active
Cohaga,B2B,SOFTWARE & PLATFORMS,,"Analytics, Biotech, SaaS",2026.0,undisclosed,Funding Round,VC Fund,"KI nicht nur erkannt, Investiere",Switzerland,2026.0,Early Stage,,,Active
Covalo,B2B,SOFTWARE & PLATFORMS,,"Analytics, Biotech, SaaS",2026.0,,,VC Fund,Hi inov und mit Beteiligung bestehender Investoren,Switzerland,2026.0,Early Stage,,,Active
Milestones,HEALTHCARE,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, EdTech, Healthtech, SaaS",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Introducing,B2B,,,"Analytics, Biotech",,,,VC Fund,Swisspreneur,Switzerland,,Early Stage,,,Active
Younger,B2B,,,"Analytics, Biotech",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Lobby,B2B,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, Mobility, Robotics, SaaS",2026.0,2.2M USD,Seed/Series A,VC Fund,Founderful,Switzerland,2026.0,Seed,,,Active
GENILEM,B2B,,,"Analytics, Cleantech",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
OOMNIUM,B2B,,,"Analytics, Biotech",2026.0,,,VC Fund,KI nutzen und plant zudem,Switzerland,2026.0,Early Stage,,,Active
KITool,B2B,,,"Analytics, Biotech",2026.0,,,VC Fund,Trainingskalendern und Wechseln von Apps zu finden,Switzerland,2026.0,Early Stage,,,Active
DeltaSpark,B2B,MANUFACTURING,,"Analytics, Biotech, Cleantech, Logistics, Manufacturing",2026.0,150.0M CHF,Seed/Series A,VC Fund,"advisors with expertise in scale-up, process engineering",Switzerland,2026.0,Series C+,,,Active
Five,HEALTHCARE,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, Cleantech, Healthtech, Manufacturing, Robotics, SaaS",2026.0,10.0M CHF,,VC Fund,"Switzerland, Zürcher Kantonalbank, ZKB",Switzerland,2026.0,Series B,,,Active
Zürichbased,B2B,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, Robotics, SaaS",2026.0,60.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active
Project,B2B,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, Cleantech, Healthtech, Logistics, Manufacturing, Mobility, Robotics, SaaS",2026.0,60.0M USD,,VC Fund,"Deep Tech Nation Switzerland, high-profile investors including Sylvester Stallone, Thomas Tippl",Switzerland,2026.0,Series C+,,,Active
Lancôme,HEALTHCARE,SOFTWARE & PLATFORMS,,"Analytics, Biotech, Healthtech, IoT, SaaS",2026.0,50.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active
MigrosTestlauf,B2B,,,"Analytics, Biotech",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Marco,B2B,,,"Analytics, Biotech",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
CHF,B2B,SOFTWARE & PLATFORMS,,"Analytics, Biotech, Cybersecurity, Manufacturing, PropTech, SaaS",2026.0,1.0M CHF,Seed/Series A,VC Fund,Innovaud,Switzerland,2026.0,Seed,,,Active
EyeFitU,B2B,SOFTWARE & PLATFORMS,,"AI, Analytics, Biotech, SaaS",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Plair,B2B,MEDICAL DEVICES,,"Analytics, Biotech, Healthtech",2026.0,1.0M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active
Solar,B2B,SOFTWARE & PLATFORMS,,"Analytics, Cleantech",2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Tech4Regen,B2B,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
Sanius,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
HSG,HEALTHCARE,,,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active
