Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Lobby,AI/ML,AI/ML,Unknown,AI,2026,2.2M USD,Undisclosed,Series A,,Switzerland,,,,,
DeltaSpark,CLEANTECH,Climate Tech,Unknown,"Cleantech, AR/VR",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Plair,AI/ML,AI/ML,Unknown,AI,2026,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
PANDA,HEALTHCARE,Biotech,Unknown,"Biotech, AR/VR",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
SolidWatts,AI/ML,AI/ML,B2B,"AI, Cleantech",2026,1.8M CHF,Undisclosed,Series A,,Switzerland,,,,,
PAVE,AI/ML,AI/ML,Unknown,AI,2026,40.0M USD,Undisclosed,Growth,,Switzerland,,,,,
NanoZymeX,Unknown,,Unknown,AR/VR,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Scait,AI/ML,AI/ML,Unknown,AI,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Kandou,AI/ML,AI/ML,Unknown,AI,2026,225.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Inside,Unknown,,Unknown,,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Rivia,HEALTHCARE,,Unknown,"AI, Healthtech",2026,15.0M USD,Series A,Series A,,Switzerland,,,,,
Rhonexum,Unknown,,Unknown,,2026,1.0M USD,Funding Round,Series A,,Switzerland,,,,,
Dexterous,Unknown,,Unknown,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Foldcast,CLEANTECH,Climate Tech,Unknown,"Cleantech, AR/VR",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Alpi,FINTECH,Insurance,Unknown,"AI, Robotics",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Seprify,AI/ML,AI/ML,Unknown,AI,2026,12.25M CHF,Undisclosed,Series C,,Switzerland,,,,,
RAROG,Unknown,,Unknown,AR/VR,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Pregnolia,Unknown,,Unknown,,2026,,Funding Round,Early Stage,,Switzerland,,,,,
Alithea,Unknown,,Unknown,"Biotech, AR/VR",2026,6.9M CHF,Seed,Seed,,Switzerland,,,,,
RheoCarti,Unknown,,Unknown,AR/VR,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Maus,AGTECH,,Unknown,Robotics,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Doxomed,HEALTHCARE,,B2B,"SaaS, Healthtech, AR/VR",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Xsensio,HEALTHCARE,,Unknown,"AI, Healthtech",2026,7.0M USD,Series A,Series A,,Switzerland,,,,,
LESS,AI/ML,AI/ML,Unknown,AI,2026,22.0M USD,Series C,Series C,,Switzerland,,,,,
Fainite,AI/ML,AI/ML,Unknown,AI,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Verretex,Unknown,,Unknown,AR/VR,2026,1.2M CHF,Undisclosed,Series A,,Switzerland,,,,,
Clee,HEALTHCARE,MedTech,Unknown,"AI, Healthtech",2026,,Seed,Seed,,Switzerland,,,,,
Billion,Unknown,,Unknown,AR/VR,2026,10.0B CHF,Undisclosed,Growth,,Switzerland,,,,,
Ranked,FINTECH,,Unknown,AR/VR,2026,,Venture Kick Grant,Pre-Seed,,Switzerland,,,,,
STIMIT,HEALTHCARE,,Unknown,Healthtech,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Baio,SOFTWARE,SaaS,B2B,"AI, SaaS, AR/VR",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Dental,INDUSTRIALS,,Unknown,Robotics,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Baxiva,MOBILITY,Electric Vehicles,Unknown,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Rapidata,AI/ML,AI/ML,Unknown,AI,2026,8.5M USD,Undisclosed,Series B,,Switzerland,,,,,
Optiml,AI/ML,AI/ML,Unknown,AI,2026,8.0M EUR,Undisclosed,Series B,,Switzerland,,,,,
CompPair,AI/ML,AI/ML,Unknown,AI,2026,,Funding Round,Early Stage,,Switzerland,,,,,
ALP,SOFTWARE,SaaS,B2B,"AI, SaaS",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Demo,Unknown,,Unknown,AR/VR,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Winduction,AI/ML,AI/ML,Unknown,"AI, AR/VR",2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
OOVIE,Unknown,,Unknown,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Subatron,Unknown,,Unknown,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
PIN,SOFTWARE,,Unknown,AI,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Augetik,INDUSTRIALS,,B2B,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Rhonexum,MOBILITY,Electric Vehicles,Unknown,AR/VR,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Binabik,AI/ML,AI/ML,Unknown,AI,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Two,CLEANTECH,,B2B,AR/VR,2026,,Funding Round,Early Stage,,Switzerland,,,,,
Chiral,AI/ML,AI/ML,Unknown,AI,2026,12.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Haelixa,Unknown,,Unknown,,2026,2.0M EUR,Undisclosed,Series A,,Switzerland,,,,,
SunWays,AI/ML,AI/ML,Unknown,"AI, Cleantech, AR/VR",2026,,Undisclosed,Early Stage,,Switzerland,,,,,
DiploTools,AI/ML,AI/ML,Unknown,AI,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Billion,Unknown,,Unknown,AR/VR,2026,1.25B CHF,Venture Kick Grant,Pre-Seed,,Switzerland,,,,,
SurgExplore,SOFTWARE,SaaS,B2B,"AI, SaaS",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Innunity,HEALTHCARE,Pharma,Unknown,Biotech,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Immitra,Unknown,,Unknown,,2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Under,MOBILITY,Electric Vehicles,Unknown,,2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
SWISSto12,AI/ML,AI/ML,B2B,AI,2026,100.0M EUR,Undisclosed,Growth,,Switzerland,,,,,
DistalMotion,Unknown,,Unknown,,2026,,Funding Round,Early Stage,,Switzerland,,,,,
FluoSphera,HEALTHCARE,,B2B,"AI, SaaS, Healthtech",2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
Nuncs,Unknown,,Unknown,,2026,2.15M USD,Undisclosed,Series A,,Switzerland,,,,,
Taskbase,EDUCATION,,Unknown,AR/VR,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
SCALE,Unknown,,Unknown,"IoT, AR/VR",2025,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
DNA,HEALTHCARE,Biotech,Unknown,"AI, Biotech, Healthtech, Robotics, AR/VR",2025,10.0K CHF,Undisclosed,Pre-Seed,,Switzerland,,,,,
