Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Publication_Date,Article_Text,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Lobby,AI/ML,AI/ML,B2B,,01.04.2026,Lobby raises USD 2.2 million to automate group bookings across the travel industry,2026,2.2M USD,Undisclosed,Series A,,Switzerland,,,,,
DeltaSpark,AI/ML,Climate Tech,B2B,,31.03.2026,"DeltaSpark receives CHF 150,000 from Venture Kick to turn CO2 into clean hydrogen and solid materials",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Plair,AI/ML,AI/ML,B2B,,27.03.2026,Plair raises CHF 1 million to expand real-time microbial detection,2026,1.0M CHF,Undisclosed,Series A,,Switzerland,,,,,
PANDA,HEALTHCARE,Drug Discovery,Unknown,BioTech,27.03.2026,"PANDA Therapeutics receives CHF 40,000 from Venture Kick to advance next-generation Alzheimer’s therapy toward clinic",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
SolidWatts,AI/ML,AI/ML,B2B,Manufacturing,26.03.2026,SolidWatts raises CHF 1.8M to switch industrial heating from gas to clean electricity,2026,1.8M CHF,Undisclosed,Series A,,Switzerland,,,,,
PAVE,AI/ML,AI/ML,B2B,SpaceTech,25.03.2026,PAVE Space raises USD 40 M to speed up satellite transfers,2026,40.0M USD,Undisclosed,Growth,,Switzerland,,,,,
NanoZymeX,AI/ML,AI/ML,B2B,BioTech,24.03.2026,"NanoZymeX receives CHF 150,000 from Venture Kick to create next-generation enzyme therapies for rare genetic diseases",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Scait,AI/ML,AI/ML,B2B,AI,24.03.2026,"Scait receives CHF 40,000 from Venture Kick to advance AI-powered construction risk analysis",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Kandou,AI/ML,AI/ML,B2B,AI,23.03.2026,$225 million for Kandou AI to power the next era of AI connectivity,2026,225.0M USD,Undisclosed,Growth,,Switzerland,,,,,
Inside,Unknown,,Unknown,,19.03.2026,Growth from the Inside,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Rivia,HEALTHCARE,Drug Discovery,Unknown,"Venture Capital, HealthTech, AgentAI, AI",18.03.2026,Rivia raises USD 15M Series A to bring clinical trials into the agentic AI era,2026,15.0M USD,Series A,Series A,,Switzerland,,,,,
Rhonexum,Unknown,WealthTech,Unknown,,18.03.2026,Rhonexum cryogenic electronics secures USD 1 Million investment,2026,1.0M USD,Funding Round,Series A,,Switzerland,,,,,
Dexterous,AI/ML,AI/ML,B2B,BioTech,17.03.2026,"Dexterous Endoscopes receives CHF 150,000 from Venture Kick to create next-generation endoscopes for minimally invasive surgery",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Foldcast,AI/ML,Climate Tech,B2B,ClimateTech,13.03.2026,"Foldcast receives CHF 40,000 from Venture Kick to scale low-carbon concrete fabrication technology",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Alpi,FINTECH,Insurance,B2B,"AgentAI, AI, Robotics, FinTech",12.03.2026,"Alpi receives CHF 40,000 from Venture Kick to scale AI automation for insurance advisors",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Seprify,AI/ML,AI/ML,B2B,,10.03.2026,Seprify raises CHF 12.25 million to scale cellulose materials for industry,2026,12.25M CHF,Undisclosed,Series C,,Switzerland,,,,,
RAROG,AI/ML,AI/ML,B2B,,09.03.2026,"RAROG receives CHF 40,000 from Venture Kick to bring faster search-and-rescue detection",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Pregnolia,Unknown,,Unknown,,08.03.2026,Pregnolia secures EIC funding to advance preterm birth prediction,2026,,Funding Round,Early Stage,,Switzerland,,,,,
Alithea,Unknown,Biotech,Unknown,BioTech,04.03.2026,CHF 6.9M seed round for Alithea Genomics to advance large-scale RNA sequencing,2026,6.9M CHF,Seed,Seed,,Switzerland,,,,,
RheoCarti,AI/ML,Medical Devices,B2B,,03.03.2026,"RheoCarti receives CHF 40,000 from Venture Kick to advance veterinary implant toward market entry",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Maus,AI/ML,Autonomous,B2B,"Robotics, Mobility",03.03.2026,"Maus Robotics receives CHF 40,000 from Venture Kick to scale autonomous fresh food deployments",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Doxomed,HEALTHCARE,SaaS,B2B,,03.03.2026,"Doxomed receives CHF 40,000 from Venture Kick to deploy interoperable healthcare platform modules",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Xsensio,HEALTHCARE,MedTech,Unknown,"Venture Capital, HealthTech",03.03.2026,Xsensio raises USD 7M Series A for clinical rollout,2026,7.0M USD,Series A,Series A,,Switzerland,,,,,
LESS,AI/ML,AI/ML,B2B,,02.03.2026,L.E.S.S. raises USD 22 million in Series C,2026,22.0M USD,Series C,Series C,,Switzerland,,,,,
Fainite,AI/ML,AI/ML,B2B,AI,02.03.2026,"Fainite receives CHF 150,000 from Venture Kick to build a Physics-based AI engine for engineering simulations",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Verretex,Unknown,Circular Economy,Unknown,,27.02.2026,Verretex secures CHF 1.2M to advance circular glass fiber textiles,2026,1.2M CHF,Undisclosed,Series A,,Switzerland,,,,,
Clee,HEALTHCARE,AI/ML,Unknown,Venture Capital,25.02.2026,Clee Medical raises Seed funding for real-time brain imaging,2026,,Seed,Seed,,Switzerland,,,,,
Swiss,Unknown,,Unknown,,25.02.2026,CHF 10 Billion for Swiss Startups,2026,10.0B CHF,Undisclosed,Growth,,Switzerland,,,,,
Ranked,FINTECH,Payments,B2B,,24.02.2026,Venture Kick Ranked Among Europe’s Top 5 Startup Hubs by the Financial Times,2026,,Venture Kick Grant,Pre-Seed,"UBS, Venture Kick",Switzerland,,,,,
STIMIT,HEALTHCARE,Digital Health,Unknown,,23.02.2026,STIMIT acquired by Hamilton Medical,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Baio,SOFTWARE,SaaS,B2B,AI,23.02.2026,"Baio receives CHF 40,000 from Venture Kick to scale AI-driven molecular design platform",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Dental,AI/ML,AI/ML,B2B,Robotics,23.02.2026,"Dental Robotics receives CHF 40,000 from Venture Kick to advance mobile dental system engineering",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Baxiva,AI/ML,Electric Vehicles,B2B,,23.02.2026,"Baxiva receives CHF 150,000 from Venture Kick to develop first-in-class Escherichia Coli vaccine",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Rapidata,AI/ML,Analytics,B2B,AI,19.02.2026,Rapidata raises USD 8.5M to accelerate AI development,2026,8.5M USD,Undisclosed,Series B,Accel,Switzerland,,,,,
Optiml,AI/ML,AI/ML,B2B,"AI, PropTech",18.02.2026,Optiml raises EUR 8 million to advance Real Estate Decision Intelligence,2026,8.0M EUR,Undisclosed,Series B,,Switzerland,,,,,
CompPair,AI/ML,AI/ML,B2B,,18.02.2026,CompPair secures funding to accelerate growth and commercial execution,2026,,Funding Round,Early Stage,Accel,Switzerland,,,,,
ALP,SOFTWARE,SaaS,B2B,AI,17.02.2026,"ALP AI receives CHF 40,000 from Venture Kick to translate organoid-AI platform into pilots",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Demo,Unknown,,Unknown,,17.02.2026,Demo Brunch 2026: A Strong Start to the Year for Swiss Innovation,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
Winduction,AI/ML,AI/ML,B2B,,17.02.2026,Winduction raises CHF 1.15M to move wireless charging into real-world testing,2026,1.15M CHF,Undisclosed,Series A,,Switzerland,,,,,
OOVIE,AI/ML,AI/ML,B2B,,13.02.2026,"OOVIE Studios receives CHF 150,000 from Venture Kick to create Music Interactive Movies",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Subatron,AI/ML,AI/ML,B2B,,13.02.2026,"Subatron receives CHF 40,000 from Venture Kick to scale wireless underwater connectivity solutions",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
PIN,SOFTWARE,AI/ML,B2B,AI,13.02.2026,"PIN Sport App receives CHF 40,000 from Venture Kick to scale AI-driven recruiting in sports",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Augetik,AI/ML,AI/ML,B2B,Manufacturing,13.02.2026,"Augetik receives CHF 40,000 from Venture Kick to scale industrial muon imaging deployment",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Rhonexum,AI/ML,Electric Vehicles,B2B,,13.02.2026,"Rhonexum receives CHF 40,000 from Venture Kick to accelerate cryogenic hardware product development",2026,40.0K CHF,Undisclosed,Pre-Seed,"Accel, Venture Kick",Switzerland,,,,,
Binabik,AI/ML,AI/ML,B2B,AI,13.02.2026,"Binabik AI receives CHF 40,000 from Venture Kick to accelerate humanoid deployment across industries",2026,40.0K CHF,Undisclosed,Pre-Seed,"Accel, Venture Kick",Switzerland,,,,,
Two,AI/ML,AI/ML,B2B,,11.02.2026,Two Venture Kick alumni reach final round of the Green Business Award 2026,2026,,Funding Round,Early Stage,Venture Kick,Switzerland,,,,,
Chiral,AI/ML,Payments,B2B,Semiconductors,09.02.2026,Chiral raises USD 12M to scale post-silicon computing beyond Moore's Law,2026,12.0M USD,Undisclosed,Series C,,Switzerland,,,,,
Haelixa,Unknown,,Unknown,,03.02.2026,Haelixa secures EUR 2 million to boost global growth,2026,2.0M EUR,Undisclosed,Series A,,Switzerland,,,,,
SunWays,AI/ML,AI/ML,B2B,ClimateTech,02.02.2026,Sun-Ways and SNCF Group team up to test solar panels between railway rails,2026,,Undisclosed,Early Stage,,Switzerland,,,,,
DiploTools,AI/ML,Payments,B2B,AI,02.02.2026,"DiploTools receives CHF 150,000 from Venture Kick to build purpose-built AI tools for modern diplomacy",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
Invested,AI/ML,AI/ML,B2B,,29.01.2026,CHF 1.25 Billion Invested in Venture Kick Startups in 2025,2026,1.25B CHF,Venture Kick Grant,Pre-Seed,Venture Kick,Switzerland,,,,,
SurgExplore,SOFTWARE,Medical Devices,B2B,AI,29.01.2026,"SurgExplore receives CHF 40,000 from Venture Kick to develop AI platform for surgical training",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Innunity,HEALTHCARE,Drug Discovery,Unknown,,29.01.2026,"Innunity Therapeutics receives CHF 40,000 from Venture Kick to advance a first-in-class MS therapy",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Immitra,AI/ML,Drug Discovery,B2B,"Scalable, BioTech",29.01.2026,"Immitra Bio receives CHF 40,000 from Venture Kick to advance scalable in vivo gene therapy",2026,40.0K CHF,Undisclosed,Pre-Seed,Venture Kick,Switzerland,,,,,
Under,AI/ML,Cloud,B2B,"BioTech, Infrastructure",26.01.2026,"Under Industries receives CHF 150,000 from Venture Kick to develop next generation microtunneling systems for urban infrastructure",2026,150.0K CHF,Undisclosed,Seed,Venture Kick,Switzerland,,,,,
