titel,unternehmen,arbeitsort,anforderungen_sektion,anforderungen,veroeffentlicht_am,url,filter_grund
Business Development Manager – E-commerce AI,K2G AG,Baar,Requirements,"5+ years in | Experience in | Track record of closing enterprise deals | Deep understanding of e-commerce operational workflows, daily routines, and pain points, and translate them into clear business opportunities for K2G solutions.",2026-03-06 13:55:11+00:00,https://www.jobs.ch/de/stellenangebote/detail/dafc808f-907d-4610-a808-d852aed42343/,erfahrung_3plus;
Finance Business Partner Innovation (80-100%),BELIMO Automation AG,Hinwil,(Fallback: 2. Aufzählung),"Mehrjährige Erfahrung im Controlling, wünschenswert im Innovations-, Technologie- oder F&E-Umfeld | Experte im Rechnungswesen & Controlling, idealerweise mit FH/HF- oder Hochschulabschluss | Sattelfest in SAP FI/CO sowie sicher im Umgang mit Excel und BI-Tools | Analytisch stark, unternehmerisch denkend, kommunikationsstark und dienstleistungsorientiert | Manager-Persönlichkeit mit Standing auf Bereichsleitungsebene, souverän im Austausch mit Projektverantwortlichen | Vertraut im Umgang mit sensiblen Daten, lösungsorientiert auch bei komplexen Herausforderungen | Fliessendes Deutsch und Englisch in Wort und Schrift | Reisebereitschaft (<10%)",2026-03-13 19:02:41+00:00,https://www.jobs.ch/de/stellenangebote/detail/c0b3cfbf-cccb-4306-a487-826135ec477d/,erfahrung_3plus;
Digital Growth Consultant (m/w/d),BGP AG,Zürich,Dein Profil,"Du bist eine gewinnende, offene Persönlichkeit mit hoher Eigenmotivation und einem Sinn für strategisches Vorgehen | Komplexe Inhalte kannst du adressatengerecht vermitteln | Strategisches und unternehmerisches Denken verbindest du mit einer strukturierten und analytischen Arbeitsweise | Du verstehst es, neue Kundenbeziehungen aufzubauen und diese zu nachhaltigen Partnerschaften weiterzuentwickeln | Deine Kommunikationsstärke hilft dir dich sicher auf Entscheider*innenebene zu bewegen | Du bringst mehrjährige Erfahrung im digitalen Umfeld mit, idealerweise in Marketing, Data oder Tech | Deine Leidenschaft gilt datengetriebenen Marketingansätzen und technologischen Entwicklungen | Verhandlungssichere Deutsch- und Englischkenntnisse runden dein Profil ab",2026-03-25 14:33:58+00:00,https://www.jobs.ch/de/stellenangebote/detail/bc5a7006-702e-4558-bf00-3a0bb2e73faf/,erfahrung_3plus;
Process Expert Digital Transformation,LLB – Liechtensteinische Landesbank AG,Eschen,Ihre Ausbildung und Erfahrung:,"Abgeschlossenes Studium in Betriebswirtschaft, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung | Mehrjährige Berufserfahrung im Prozessmanagement oder in der kontinuierlichen Verbesserung, idealerweise in einer komplexen Organisation | Fundierte Kenntnisse in KVP-Methoden sowie Erfahrung in Prozess-Optimierungs- oder Digitalisierungsprojekten | Praxis in der Modellierung von Geschäftsprozessen, idealerweise mit ADONIS | Erfahrung in der Zusammenarbeit mit Fachbereichen und Process Ownern",2026-03-31 08:56:33+00:00,https://www.jobs.ch/de/stellenangebote/detail/d10efce9-3a6c-4135-814c-29104fe39724/,erfahrung_3plus;
"Product Owner & Projektmanager Sales Development mit Schwerpunkt New Tech (w/m/d), 80-100%, Zürich / hybrid",Sanitas Krankenversicherung,Zürich,(Fallback: 2. Aufzählung),"Neben einem erfolgreich abgeschlossenen Hochschulabschluss (BWL, Wirtschaftsinformatik o.ä.) oder eine relevante Weiterbildung bringst du mehrjährige Berufserfahrung in Product Ownership, Projektmanagement oder Vertriebsentwicklung mit, idealerweise mit Fokus auf die erfolgreiche Implementierung von New Technologies und digitalen Transformationsprojekten | Mit ausgeprägten konzeptionellen und analytischen Fähigkeiten übersetzt du komplexe Anforderungen in innovative, technologisch fundierte Lösungen, dein Vertriebs-Know-how und markt- und kundenorientiertes Denken sind dabei entscheidend | Deine umsetzungsstarke Art, deine intrinsische Motivation und deine ausgeprägte Affinität für digitale Innovationen und New Technologies runden dein Profil ab | Du kommunizierst mündlich wie schriftlich fliessend auf Deutsch, jede weitere Sprache ist ein Plus",2026-03-17 04:02:47+00:00,https://www.jobs.ch/de/stellenangebote/detail/9b23c33a-8379-484d-98c3-4737d088b3c0/,erfahrung_3plus;
Studiengangsleiter:in für BSc/MSc in Business Administration 100 %,Kalaidos Fachhochschule AG,Zürich,Das bringen Sie mit:,"Hochschulabschluss (MA/MSc/Lic) in einer betriebswirtschaftlichen Studienrichtung zwingend | Mehrjährige Berufserfahrung in betriebswirtschaftlich ausgerichteten Funktionen, idealerweise mit Schnittstellen zu Bildung, Training oder Organisationsentwicklung | Erfahrung in praxisnahen, leistungs- und marktorientierten Arbeitsumfeldern | Erfahrung im Projektmanagement | Selbständige, strukturierte und präzise Arbeitsweise | Hohes Mass an Umsetzungsstärke, Pragmatismus und Belastbarkeit | Ausgeprägte Kommunikationsfähigkeit und Kundenorientierung | Sehr gute Deutschkenntnisse sowie gute Englisch; Französischkenntnisse wünschenswert | Sicherer Umgang mit MS-Office sowie Affinität und Motivation zum Einsatz von digitalen und KI-unterstützen Lern- und Lehrformaten, - Applikationen und LMS-Plattformen (z.B. OpenOlat, Brian; Mindsmith, etc.)",2026-03-20 08:03:30+00:00,https://www.jobs.ch/de/stellenangebote/detail/06095605-357d-468d-9cde-e3598ebbdab1/,erfahrung_3plus;
Fachspezialist*in Business Intelligence (BI) und Prognosen,Stadtverwaltung Bern,Bern,(Fallback: 2. Aufzählung),"Studium in BWL, VWL, Wirtschaftsinformatik, Mathematik oder vergleichbare Ausbildung | Hohes Interesse am Aufbau von BI-Lösungen sowie an Recherchen zu Wirtschafts-, Finanz- und Steuerthemen | Selbstständige, dienstleistungs- und lösungsorientierte Arbeitsweise, hohe Sozialkompetenz | Mehrjährige Berufserfahrung in vergleichbarer Tätigkeit von Vorteil | Weiterbildungen in BI oder Data Science (z. B. Power BI, Python, R) von Vorteil",2026-03-26 04:02:51+00:00,https://www.jobs.ch/de/stellenangebote/detail/3f2aa731-60c3-4cb7-a400-3344ab17fea3/,erfahrung_3plus;
"Manager Business Intelligence & Analytics (m/w/d), Buchs",Delica AG,Buchs AG,Was du mitbringst,"Bildung: Abgeschlossenes Studium (Uni/ETH, FH, HF) | Fachrichtung: (Master) in Betriebswirtschaft / IT oder eine höhere Weiterbildung in Controlling / IT. | Berufserfahrung: Mehrjährige Erfahrung in Finanzen/Controlling/BI, optimalerweise in der produzierenden Industrie, sowie Erfahrung im Aufbau und der Implementierung von Kennzahlensystemen. | Sehr gute Kenntnisse in BI-Tools (PowerBI, Microsoft Fabric, DAX, Power Query) und SQL. | Fundierte SAP-Kenntnisse mit integriertem Werteflussverständnis. | Affinität zu neuen IT-Technologien und Datenanalysen. | Analytisches und konzeptionelles Denkvermögen sowie strukturiertes Denken. | Fähigkeit, ein Team zu motivieren und weiterzuentwickeln. | Deutsch (verhandlungssicher) | Englisch (fliessend)",2026-03-09 09:32:49+00:00,https://www.jobs.ch/de/stellenangebote/detail/4312dac0-def6-4b54-b2be-6befb936706f/,erfahrung_3plus;
Entwicklungsingenieur:in Junior (80 % - 100 %),Landolt Engineering AG,Reichenburg,Ihr Profil,"Abgeschlossenes Studium in Maschinenbau (vorzugsweise FH) | Technische Grundausbildung (Konstrukteur:in, Polymechaniker:in, Anlage Apparatebauer:in) | 3D-CAD-Kenntnisse (NX | Teamcenter und/oder Inventor | Vault von Vorteil) | Erfahrung in der industriellen Fertigung und Verständnis für klassische Produktionsprozesse wie Zerspanung, Schweissen und Blechbearbeitung | Sicherer Umgang mit MS Office | Analytische Denkweise, kommunikationsstark und lösungsorientiert | Selbstständige, proaktive, zuverlässige und zielorientierte Arbeitsweise | Organisationstalent und die Fähigkeit, mehrere Projekte gleichzeitig zu koordinieren | Sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift | Teamplayer auf allen Ebenen",2026-03-12 10:03:06+00:00,https://www.jobs.ch/de/stellenangebote/detail/fb35749b-4f8f-4685-a09e-6573ca168ef8/,technisch;
Junior Cloud System Specialist (w/m/d) 60–80 %,"BFU, Beratungsstelle für Unfallverhütung",Bern,Ihr Profil,"Abgeschlossene Ausbildung als ICT Platform Development Specialist mit eidgenössischem Fachausweis | Hohes Qualitäts- und Dienstleistungsbewusstsein | Gute Kenntnisse der Microsoft-Cloud-Dienste (Azure, PurView, Intune/Autopilot, Exchange, SharePoint, Teams) und von Microsoft Windows | Teamspirit, Offenheit für neue Technologien und Lernbereitschaft | Deutsche Muttersprache, gute Englischkenntnisse und französische Grundkenntnisse für die mündliche Kommunikation",2026-03-11 03:02:53+00:00,https://www.jobs.ch/de/stellenangebote/detail/94801237-10d5-4eae-9c23-811424481ed3/,technisch;
