berufsfeld,keyword,tfidf_score,anzahl_jobs,anteil_jobs_pct
Business Developer,business,0.03761884336184767,138,73.0
Business Developer,management,0.03480947298715997,89,47.1
Business Developer,data,0.028170158135964823,65,34.4
Business Developer,technical,0.027052654840750978,71,37.6
Business Developer,sales,0.026797681159475357,47,24.9
Business Developer,development,0.02512358711764975,99,52.4
Business Developer,product,0.02263081530843294,50,26.5
Business Developer,customer,0.02255242321363693,37,19.6
Business Developer,engineering,0.022241923868884135,67,35.4
Business Developer,solutions,0.02181852018859962,75,39.7
Business Developer,project,0.020931804164009,43,22.8
Business Developer,english,0.019956189336749214,100,52.9
Business Developer,technology,0.01953369986804265,58,30.7
Business Developer,software,0.01826494748123987,44,23.3
Business Developer,profile,0.018037946915428742,43,22.8
Business Developer,digital,0.017890189933544253,38,20.1
Business Developer,german,0.017687185544916734,61,32.3
Business Developer,financial,0.017015028034280563,41,21.7
Business Developer,tools,0.016465193931640292,63,33.3
Business Developer,process,0.016260659410264396,55,29.1
Business Developer,information,0.01587474231970603,52,27.5
Business Developer,people,0.01582966049190204,51,27.0
Business Developer,travel,0.01567807513455759,30,15.9
Business Developer,professional,0.015575706691725894,58,30.7
Business Developer,services,0.01512502623981341,44,23.3
Business Developer,industry,0.01508516522959347,55,29.1
Business Developer,us,0.015057893847970334,65,34.4
Business Developer,science,0.015013836325562004,39,20.6
Business Developer,office,0.014866056862405991,45,23.8
Business Developer,leadership,0.014765785055330126,34,18.0
Business Developer,processes,0.014670600374957153,58,30.7
Business Developer,service,0.014543381036051628,38,20.1
Business Developer,field,0.014365442644169663,55,29.1
Business Developer,opportunities,0.01419014527090457,68,36.0
Business Developer,application,0.01412340751646837,44,23.3
Business Developer,career,0.01392200940676901,44,23.3
Business Developer,advantage,0.013845277741712129,37,19.6
Business Developer,projects,0.013739180986533425,46,24.3
Business Developer,innovation,0.013718027293629457,43,22.8
Business Developer,consulting,0.013687206942295742,27,14.3
Business Developer,language,0.013593630558434325,33,17.5
Business Developer,finance,0.013576164549238734,39,20.6
Business Developer,fluent,0.013570279261871937,41,21.7
Business Developer,marketing,0.013567353434489816,21,11.1
Business Developer,systems,0.013448152126258205,50,26.5
Business Developer,analysis,0.013036877396030854,31,16.4
Business Developer,security,0.013021174111909862,13,6.9
Business Developer,complex,0.013006454551041416,49,25.9
Business Developer,impact,0.012935334987832042,43,22.8
Business Developer,into,0.012548840682881236,43,22.8
Digital Channel & Relationship Manager,sales,0.034418860272787934,28,33.7
Digital Channel & Relationship Manager,business,0.029368084251161834,31,37.3
Digital Channel & Relationship Manager,management,0.02912533717235321,36,43.4
