berufsfeld,kategorie,skill,anzahl,anzahl_jobs_im_profil,anteil_pct
Business Developer,Ausbildung / Degree,"Stell dir vor, du hättest ein Portfolio, das 24/7 verkauft wird! Von dem morgendlichen Kaffee bis hin zum abendlichen Anstossen mit Freunden – es geht nicht nur um unsere Produkte, sondern darum, Momente zu schaffen, die uns alle erfrischen. Als Business Developer in unserem Vertriebsteam gehst du aktiv auf den HoReCa-Markt, baust Verbindungen auf, verstehst die Bedürfnisse unserer Kunden und handelst schnell, um Ergebnisse zu erzielen. Mit Echtzeit-Informationen, die dir durch unsere digitalen Tools zur Verfügung stehen, verkaufst du nicht nur ein Portfolio ikonischer Marken, sondern wirst zu einem vertrauenswürdigen Berater, der gemeinsam mit unseren Kunden langfristige Werte schafft. Und das alles, während du in einer echten „Sales Academy“ lernst",4,283,1.4
Business Developer,Ausbildung / Degree,"Sind wir ergebnisorientiert und immer auf der Suche nach Möglichkeiten, das Geschäft und uns selbst weiterzuentwickeln",4,283,1.4
Business Developer,Ausbildung / Degree,Eine abgeschlossene Grundausbildung EFZ mitbringen,4,283,1.4
Business Developer,Ausbildung / Degree,"Deine Fähigkeit, den Markt und das Verbraucherverhalten zu analysieren, zusammen mit deinem Gespür für Chancen, dich dazu führt, Geschäftsanalysen und Vorschläge für strategische Investitionen in die Verkaufsstellen der Kunden zu entwickeln",4,283,1.4
Business Developer,Ausbildung / Degree,"Du wirst einen Buddy haben, der/die dich während deiner Einarbeitungszeit in das Geschäft, die täglichen Abläufe und dein Gebiet einführt",4,283,1.4
Business Developer,Ausbildung / Degree,"Bei Coca-Cola HBC sind wir ein inklusiver Arbeitgeber, der Vielfalt lebt. Das bedeutet, dass unser Arbeitsumfeld gleiche Chancen für alle bietet, unabhängig von Rasse, Hautfarbe, Religion, Alter, Behinderung, sexueller Orientierung oder Geschlechtsidentität. Mach mit und hilf uns, eine Kultur zu fördern, in der sich jeder zugehörig fühlt und zu unserem gemeinsamen Erfolg beiträgt",4,283,1.4
Business Developer,Ausbildung / Degree,"Wir sind ein weltweit tätiges Familienunternehmen, das durch nachhaltiges und verantwortungsbewusstes Handeln zur Verbesserung des Lebensstandards beiträgt. Wir sind ein attraktiver Arbeitgeber mit einer wertorientierten Unternehmenskultur, die auf Vertrauen, Wertschätzung und kontinuierlicher Verbesserung basiert",3,283,1.1
Business Developer,Ausbildung / Degree,"BEI WEIDMANN SETZEN WIR UNS FÜR CHANCENGLEICHHEIT UND WACHSTUM FÜR ALLE EIN. WIR SIND ÜBERZEUGT, DASS EIN VIELFÄLTIGES UND INTEGRATIVES ARBEITSUMFELD DAS GEGENSEITIGE VERSTÄNDNIS UND DIE INNOVATION UNSERES UNTERNEHMENS FÖRDERT",3,283,1.1
Business Developer,Ausbildung / Degree,Bachelor's degree or equivalent practical experience,2,283,0.7
Business Developer,Ausbildung / Degree,"Degree in mechanical engineering (BSc., MSc., Dipl.-Ing. or equivalent)",2,283,0.7
