titel,unternehmen,arbeitsort,anforderungen_sektion,anforderungen,veroeffentlicht_am,url
Business Development Manager – E-commerce AI,K2G AG,Baar,Requirements,"5+ years in | Experience in | Track record of closing enterprise deals | Deep understanding of e-commerce operational workflows, daily routines, and pain points, and translate them into clear business opportunities for K2G solutions.",2026-03-06T14:55:11+01:00,https://www.jobs.ch/de/stellenangebote/detail/dafc808f-907d-4610-a808-d852aed42343/
Student Support - Digital Upskilling / AI Enablement 40-80%,LGT Capital Partners AG,Pfaeffikon (Summelenweg),(nicht gefunden),(keine Anforderungen erkannt),2026-03-25T17:34:02+01:00,https://www.jobs.ch/de/stellenangebote/detail/1c727ab7-9eca-47a8-b209-e7be87a04259/
Finance Business Partner Innovation (80-100%),BELIMO Automation AG,Hinwil,(Fallback: 2. Aufzählung),"Mehrjährige Erfahrung im Controlling, wünschenswert im Innovations-, Technologie- oder F&E-Umfeld | Experte im Rechnungswesen & Controlling, idealerweise mit FH/HF- oder Hochschulabschluss | Sattelfest in SAP FI/CO sowie sicher im Umgang mit Excel und BI-Tools | Analytisch stark, unternehmerisch denkend, kommunikationsstark und dienstleistungsorientiert | Manager-Persönlichkeit mit Standing auf Bereichsleitungsebene, souverän im Austausch mit Projektverantwortlichen | Vertraut im Umgang mit sensiblen Daten, lösungsorientiert auch bei komplexen Herausforderungen | Fliessendes Deutsch und Englisch in Wort und Schrift | Reisebereitschaft (<10%)",2026-03-13T20:02:41+01:00,https://www.jobs.ch/de/stellenangebote/detail/c0b3cfbf-cccb-4306-a487-826135ec477d/
Digital Growth Consultant (m/w/d),BGP AG,Zürich,Dein Profil,"Du bist eine gewinnende, offene Persönlichkeit mit hoher Eigenmotivation und einem Sinn für strategisches Vorgehen | Komplexe Inhalte kannst du adressatengerecht vermitteln | Strategisches und unternehmerisches Denken verbindest du mit einer strukturierten und analytischen Arbeitsweise | Du verstehst es, neue Kundenbeziehungen aufzubauen und diese zu nachhaltigen Partnerschaften weiterzuentwickeln | Deine Kommunikationsstärke hilft dir dich sicher auf Entscheider*innenebene zu bewegen | Du bringst mehrjährige Erfahrung im digitalen Umfeld mit, idealerweise in Marketing, Data oder Tech | Deine Leidenschaft gilt datengetriebenen Marketingansätzen und technologischen Entwicklungen | Verhandlungssichere Deutsch- und Englischkenntnisse runden dein Profil ab",2026-03-25T15:33:58+01:00,https://www.jobs.ch/de/stellenangebote/detail/bc5a7006-702e-4558-bf00-3a0bb2e73faf/
Process Expert Digital Transformation,LLB – Liechtensteinische Landesbank AG,Eschen,Ihre Ausbildung und Erfahrung:,"Abgeschlossenes Studium in Betriebswirtschaft, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung | Mehrjährige Berufserfahrung im Prozessmanagement oder in der kontinuierlichen Verbesserung, idealerweise in einer komplexen Organisation | Fundierte Kenntnisse in KVP-Methoden sowie Erfahrung in Prozess-Optimierungs- oder Digitalisierungsprojekten | Praxis in der Modellierung von Geschäftsprozessen, idealerweise mit ADONIS | Erfahrung in der Zusammenarbeit mit Fachbereichen und Process Ownern",2026-03-31T10:56:33+02:00,https://www.jobs.ch/de/stellenangebote/detail/d10efce9-3a6c-4135-814c-29104fe39724/
"Product Owner & Projektmanager Sales Development mit Schwerpunkt New Tech (w/m/d), 80-100%, Zürich / hybrid",Sanitas Krankenversicherung,Zürich,(Fallback: 2. Aufzählung),"Neben einem erfolgreich abgeschlossenen Hochschulabschluss (BWL, Wirtschaftsinformatik o.ä.) oder eine relevante Weiterbildung bringst du mehrjährige Berufserfahrung in Product Ownership, Projektmanagement oder Vertriebsentwicklung mit, idealerweise mit Fokus auf die erfolgreiche Implementierung von New Technologies und digitalen Transformationsprojekten | Mit ausgeprägten konzeptionellen und analytischen Fähigkeiten übersetzt du komplexe Anforderungen in innovative, technologisch fundierte Lösungen, dein Vertriebs-Know-how und markt- und kundenorientiertes Denken sind dabei entscheidend | Deine umsetzungsstarke Art, deine intrinsische Motivation und deine ausgeprägte Affinität für digitale Innovationen und New Technologies runden dein Profil ab | Du kommunizierst mündlich wie schriftlich fliessend auf Deutsch, jede weitere Sprache ist ein Plus",2026-03-17T05:02:47+01:00,https://www.jobs.ch/de/stellenangebote/detail/9b23c33a-8379-484d-98c3-4737d088b3c0/
Projektleiter/in Organisationsentwicklung (Junior) 60-80%,Stiftung Heilsarmee Schweiz,Bern,Das bringen Sie mit,"Kaufmännische Grundausbildung | Weiterbildung im Bereich Betriebswirtschaft (oder in Ausbildung, Bachelor-Niveau) | Erste Erfahrung in den Bereichen Betriebswirtschaft, Finanzen und Projektmanagement | Interesse an Neuem und Bereitschaft zur Weiterentwicklung | Analytisches und vernetztes Denken und Handeln | Kunden- und dienstleistungsorientierte Einstellung | Gute Kenntnisse der deutschen und französischen Sprache | Identifikation mit Vision, Mission, Auftrag und den christlichen Werten der Heilsarmee",2026-03-18T10:33:45+01:00,https://www.jobs.ch/de/stellenangebote/detail/e437b9aa-6992-43fb-9eb3-a42347fdc518/
Studiengangsleiter:in für BSc/MSc in Business Administration 100 %,Kalaidos Fachhochschule AG,Zürich,Das bringen Sie mit:,"Hochschulabschluss (MA/MSc/Lic) in einer betriebswirtschaftlichen Studienrichtung zwingend | Mehrjährige Berufserfahrung in betriebswirtschaftlich ausgerichteten Funktionen, idealerweise mit Schnittstellen zu Bildung, Training oder Organisationsentwicklung | Erfahrung in praxisnahen, leistungs- und marktorientierten Arbeitsumfeldern | Erfahrung im Projektmanagement | Selbständige, strukturierte und präzise Arbeitsweise | Hohes Mass an Umsetzungsstärke, Pragmatismus und Belastbarkeit | Ausgeprägte Kommunikationsfähigkeit und Kundenorientierung | Sehr gute Deutschkenntnisse sowie gute Englisch; Französischkenntnisse wünschenswert | Sicherer Umgang mit MS-Office sowie Affinität und Motivation zum Einsatz von digitalen und KI-unterstützen Lern- und Lehrformaten, - Applikationen und LMS-Plattformen (z.B. OpenOlat, Brian; Mindsmith, etc.)",2026-03-20T09:03:30+01:00,https://www.jobs.ch/de/stellenangebote/detail/06095605-357d-468d-9cde-e3598ebbdab1/
Fachspezialist*in Business Intelligence (BI) und Prognosen,Stadtverwaltung Bern,Bern,(Fallback: 2. Aufzählung),"Studium in BWL, VWL, Wirtschaftsinformatik, Mathematik oder vergleichbare Ausbildung | Hohes Interesse am Aufbau von BI-Lösungen sowie an Recherchen zu Wirtschafts-, Finanz- und Steuerthemen | Selbstständige, dienstleistungs- und lösungsorientierte Arbeitsweise, hohe Sozialkompetenz | Mehrjährige Berufserfahrung in vergleichbarer Tätigkeit von Vorteil | Weiterbildungen in BI oder Data Science (z. B. Power BI, Python, R) von Vorteil",2026-03-26T05:02:51+01:00,https://www.jobs.ch/de/stellenangebote/detail/3f2aa731-60c3-4cb7-a400-3344ab17fea3/
"Manager Business Intelligence & Analytics (m/w/d), Buchs",Delica AG,Buchs AG,Was du mitbringst,"Bildung: Abgeschlossenes Studium (Uni/ETH, FH, HF) | Fachrichtung: (Master) in Betriebswirtschaft / IT oder eine höhere Weiterbildung in Controlling / IT. | Berufserfahrung: Mehrjährige Erfahrung in Finanzen/Controlling/BI, optimalerweise in der produzierenden Industrie, sowie Erfahrung im Aufbau und der Implementierung von Kennzahlensystemen. | Sehr gute Kenntnisse in BI-Tools (PowerBI, Microsoft Fabric, DAX, Power Query) und SQL. | Fundierte SAP-Kenntnisse mit integriertem Werteflussverständnis. | Affinität zu neuen IT-Technologien und Datenanalysen. | Analytisches und konzeptionelles Denkvermögen sowie strukturiertes Denken. | Fähigkeit, ein Team zu motivieren und weiterzuentwickeln. | Deutsch (verhandlungssicher) | Englisch (fliessend)",2026-03-09T10:32:49+01:00,https://www.jobs.ch/de/stellenangebote/detail/4312dac0-def6-4b54-b2be-6befb936706f/
