job_title,mbi_profil,company,location,veroeffentlicht_am,url,quelle,Fachkompetenz_Score,Sozialkompetenz_Score,Methodenkompetenz_Score,Personalkompetenz_Score,Fachdetail_Score,FK_Waren_Produktkenntnisse,FK_Komplexe_Fertigkeiten,FK_Fremdsprachen,FK_Fuehrerschein,FK_Auslandserfahrung,FK_Vertriebserfahrung,FK_Projekterfahrung,FK_EDV_Kenntnisse,FK_Berufsausbildung,FK_Branchenerfahrung,FD_Python,FD_Java,FD_JavaScript_TypeScript,FD_CSharp,FD_SQL,FD_R_Statistik,FD_HTML_CSS,FD_PHP_Ruby_andere,FD_Cloud_AWS_Azure_GCP,FD_Docker_Kubernetes,FD_DevOps_CICD,FD_Data_Science_ML,FD_AI_KI,FD_NLP_LLM,FD_Data_Analysis_BI,FD_Data_Engineering_ETL,FD_SAP,FD_Salesforce,FD_ERP,FD_CRM,FD_MS_Office,FD_Jira_Confluence,FD_Cyber_Security,FD_Datenschutz_DSGVO,FD_UX_UI_Design,FD_API_Webentwicklung,FD_Scraping_Automatisierung,FD_Agile_Scrum,FD_Berufserfahrung_Jahre,SK_Kooperationsfaehigkeit,SK_Verhandlungsgeschick,SK_Durchsetzungsvermoegen,SK_Kritikfaehigkeit,SK_Teamfaehigkeit,SK_Hilfsbereitschaft,SK_Fairness,SK_Kundenorientierung,SK_Vorurteilsfreiheit,SK_Respekt,MK_Konzeptionelle_Staerke,MK_Effektives_Arbeiten,MK_Projektmanagement,MK_Strategieentwicklung,MK_Praesentation,MK_Selbstmanagement,MK_Moderationstechnik,MK_Koordination,MK_Kreatives_Denken,MK_Stressmanagement,PK_Ausstrahlung_Charisma,PK_Aufgeschlossenheit,PK_Unternehmerisches_Denken,PK_Menschenkenntnis,PK_Empathie,PK_Auffassungsgabe,PK_Motivation,PK_Interesse,PK_Belastbarkeit,PK_Entschlossenheit
Business Developer,Business Development,Ebury,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=7567b7e0f6f9806b,indeed,5,6,4,5,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1
Technical Business Analyst,Transforming & Managing Digital Business,Avaloq,"8041 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=e6a099af744f32eb,indeed,6,5,5,3,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0
Chief of Staff to Founder & CTO,Start-up & Scale-up Entrepreneurship,BLP Digital AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=a2ffbde2a3250b08,indeed,5,1,4,3,4,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0
Solution Developer (100%),Technology Solution Architect,Graphax AG,"Spreitenbach, AG",,https://ch.indeed.com/viewjob?jk=3fcd846f938ddffa,indeed,5,3,5,2,7,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0
Oracle Database Administrator,Technology Solution Architect,Wipro Limited,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=bd38e7a06aa20f45,indeed,2,4,5,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1
Senior/Lead Conversation Designer,Transforming & Managing Digital Business,"EPAM Systems, Inc.","Zürich, ZH",,https://ch.indeed.com/viewjob?jk=c281c2e973740ca3,indeed,5,3,4,1,3,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Lead - Apparel & Accessories, Material Quality, Testing, and Color",Supply Chain & Operations Management,On AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=5d6bb70aa67bed81,indeed,3,5,8,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1
Strategic Pricing & Revenue Manager 100% (f/m/d),Business Development,Julius Baer,"8048 Zürich, ZH",,https://ch.indeed.com/viewjob?jk=c589dbfb8c4727b5,indeed,6,5,7,2,4,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0
Head of Security Platforms and Architecture,Technology Solution Architect,On AG,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=9f48de15ca23aeb7,indeed,4,5,5,3,8,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1
"Senior SAP FPSL Specialist - IFRS17 / Subledger, Zurich (Zurich, CH)",Technology Solution Architect,Swiss Re,"Zürich, ZH",,https://ch.indeed.com/viewjob?jk=9ce5d7d0afa456ba,indeed,5,4,6,4,13,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0
