keyword,earlier_avg,recent_avg,momentum_pct,classification,rank,interpretation
GenAI,1.8,5.0,168.4,Accelerating 🚀,1,Explosive Growth 🚀
Robotics,1.0,2.2,109.1,Accelerating 🚀,2,Explosive Growth 🚀
Ecommerce,1.2,1.5,23.1,Growing ↑,3,Moderate Growth ↑
PropTech,1.2,1.5,23.1,Growing ↑,3,Moderate Growth ↑
MedTech,3.5,3.8,8.3,Stable →,5,Stable →
AgriTech,0.8,0.8,0.0,Stable →,6,Stable →
BioTech,27.5,27.0,-1.8,Stable →,7,Stable →
FinTech,36.5,32.0,-12.3,Slowing ↓,8,Slowing ↓
Enterprise,2.5,1.8,-26.9,Slowing ↓,9,Slowing ↓
Cybersecurity,0.8,0.5,-33.3,Slowing ↓,10,Slowing ↓
HealthTech,4.2,2.5,-39.5,Slowing ↓,11,Slowing ↓
ClimateTech,16.8,8.8,-47.3,Slowing ↓,12,Slowing ↓
EdTech,0.8,0.2,-66.7,Declining 📉,13,Collapsing 📉
SpaceTech,0.8,0.0,-88.9,Declining 📉,14,Collapsing 📉
