Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Names,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage,Data_Source
ALP,AI/ML,,B2B,"AI, SaaS",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Advertima,B2B,,B2B,,2026.0,,,VC Fund,Kundinnen und Kunden in Echtzeit analysiert,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Agora,B2B,,B2B,,2026.0,2.2M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Aiving,B2B,,B2B,,2026.0,2.0M CHF,,VC Fund,,Switzerland,2026.0,Seed,,,Active,Startupticker
Alithea,B2B,,B2B,,2026.0,6.9M CHF,Seed/Series A,VC Fund,,Switzerland,2026.0,Series A,,,Active,Startupticker
Alithea,B2B,,B2B,"Biotech, AR/VR",2026.0,6.9M CHF,Seed,Accelerator/Grant,,Switzerland,2026.0,Seed,,,Active,Venturekick
Alpi,FINTECH,,B2B,"AI, Robotics",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Amazon,B2B,,B2B,,2026.0,22.0M USD,,VC Fund,,Switzerland,2026.0,Series B,,,Active,Startupticker
Audiospace,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Augetik,INDUSTRIALS,,B2B,Manufacturing,2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Auterion,B2B,,B2B,,2026.0,130.0M USD,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Awards,B2B,,B2B,,2026.0,,,VC Fund,,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Axmed,B2B,,B2B,,2026.0,6.0M USD,Seed/Series A,VC Fund,Founderful Ventures,Switzerland,2026.0,Series A,,,Active,Startupticker
BESS,FINTECH,,B2B,,2026.0,60.0M EUR,Seed/Series A,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Babylat,HEALTHCARE,,B2B,,2026.0,0.8M CHF,,VC Fund,,Switzerland,2026.0,Pre-Seed,,,Active,Startupticker
Baio,AI/ML,,B2B,"AI, SaaS, AR/VR",2026.0,40.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Pre-Seed,,,Active,Venturekick
Baselbieter,B2B,,B2B,,2026.0,200.0M,,VC Fund,,Switzerland,2026.0,Series C+,,,Active,Startupticker
Baxiva,HEALTHCARE,,B2B,,2026.0,,,VC Fund,CEO Dr,Switzerland,2026.0,Early Stage,,,Active,Startupticker
Baxiva,MOBILITY,,B2B,Mobility,2026.0,150.0K CHF,Undisclosed,Accelerator/Grant,Venture Kick,Switzerland,2026.0,Seed,,,Active,Venturekick
