Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investment_Stage,Investor_Names,Location,City,Canton,Founded_Year,Employees,Website
Delta,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Cloud",2026.0,4.4M EUR,Seed/Series A,Series A,"Cusp Capital, AI personas trained on generic internet data, the Auxxo Female Catalyst Fund",Switzerland,,,,,
UBS,FINTECH,FINANCIAL SERVICES,Unknown,"AI, Analytics, Biotech, Fintech, IoT, Manufacturing",2026.0,,,Early Stage,UBS,Switzerland,,,,,
BIND,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Cloud, Healthtech, SaaS",2026.0,,,Early Stage,EPFL,Switzerland,,,,,
Cohaga,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, SaaS",2026.0,undisclosed,Funding Round,Early Stage,"KI nicht nur erkannt, Investiere",Switzerland,,,,,
Covalo,Unknown,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, SaaS",2026.0,,,Early Stage,Hi inov und mit Beteiligung bestehender Investoren,Switzerland,,,,,
Introducing,Unknown,,Unknown,"Analytics, Biotech",,,,Early Stage,Swisspreneur,Switzerland,,,,,
Milestones,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, EdTech, Healthtech, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Younger,AI/ML,,B2B,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
Lobby,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Mobility, Robotics, SaaS",2026.0,2.2M USD,Seed/Series A,Seed,Founderful,Switzerland,,,,,
GENILEM,Unknown,,Unknown,"Analytics, Cleantech",2026.0,,,Early Stage,,Switzerland,,,,,
OOMNIUM,Unknown,,B2B,"Analytics, Biotech",2026.0,,,Early Stage,KI nutzen und plant zudem,Switzerland,,,,,
KITool,AI/ML,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,Trainingskalendern und Wechseln von Apps zu finden,Switzerland,,,,,
DeltaSpark,AI/ML,MANUFACTURING,Unknown,"Analytics, Biotech, Cleantech, Logistics, Manufacturing",2026.0,150.0M CHF,Seed/Series A,Series C+,"advisors with expertise in scale-up, process engineering",Switzerland,,,,,
Five,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, Healthtech, Manufacturing, Robotics, SaaS",2026.0,10.0M CHF,,Series B,"Switzerland, Zürcher Kantonalbank, ZKB",Switzerland,,,,,
Zürichbased,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Robotics, SaaS",2026.0,60.0M USD,,Series C+,,Switzerland,,,,,
Project,AI/ML,SOFTWARE & PLATFORMS,Unknown,"AI, Analytics, Biotech, Cleantech, Healthtech, Logistics, Manufacturing, Mobility, Robotics, SaaS",2026.0,60.0M USD,,Series C+,"Deep Tech Nation Switzerland, high-profile investors including Sylvester Stallone, Thomas Tippl",Switzerland,,,,,
Lancôme,HEALTHCARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Healthtech, IoT, SaaS",2026.0,50.0M USD,,Series C+,,Switzerland,,,,,
MigrosTestlauf,AI/ML,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
Marco,AI/ML,,Unknown,"Analytics, Biotech",2026.0,,,Early Stage,,Switzerland,,,,,
CHF,Unknown,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Cybersecurity, Manufacturing, PropTech, SaaS",2026.0,1.0M CHF,Seed/Series A,Seed,Innovaud,Switzerland,,,,,
EyeFitU,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
Plair,HEALTHCARE,MEDICAL DEVICES,Unknown,"Analytics, Biotech, Healthtech",2026.0,1.0M CHF,Seed/Series A,Seed,,Switzerland,,,,,
Solar,SOFTWARE,SOFTWARE & PLATFORMS,Unknown,"Analytics, Cleantech",2026.0,,,Early Stage,,Switzerland,,,,,
Tech4Regen,AI/ML,MANUFACTURING,Unknown,"Analytics, Biotech, Cleantech, Manufacturing",2026.0,,,Early Stage,,Switzerland,,,,,
Sanius,HEALTHCARE,SOFTWARE & PLATFORMS,B2B,"Analytics, Biotech, Healthtech, Logistics, SaaS",2026.0,,,Early Stage,,Switzerland,,,,,
HSG,HEALTHCARE,MEDICAL DEVICES,Unknown,"AI, Analytics, Biotech, Cleantech, Healthtech, Mobility, Robotics",2026.0,,,Early Stage,,Switzerland,,,,,
Venture,MOBILITY,,Unknown,"Analytics, Biotech, Mobility",2026.0,103.0M CHF,,Series C+,,Switzerland,,,,,
Switzerland,EDUCATION,MEDICAL DEVICES,Unknown,"Analytics, Biotech, EdTech, IoT",2026.0,,,Early Stage,,Switzerland,,,,,
Seed,SOFTWARE,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, Cleantech, SaaS",2026.0,1.8M CHF,Seed/Series A,Seed,ZKB,Switzerland,,,,,
Coteries,AI/ML,SOFTWARE & PLATFORMS,Unknown,Analytics,2026.0,,,Early Stage,,Switzerland,,,,,
MESH,INDUSTRIALS,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Manufacturing, Mobility, Robotics, SaaS",2026.0,3.8M USD,Seed/Series A,Series A,"industry leaders, experienced investors including ABB Robotics Ventures, Sika",Switzerland,,,,,
Pivotal,AI/ML,SOFTWARE & PLATFORMS,B2B,"AI, Analytics, Biotech, E-Commerce, SaaS",2026.0,1.7M USD,,Seed,,Switzerland,,,,,
Swiss,Unknown,,Unknown,Analytics,2026.0,,,Early Stage,,Switzerland,,,,,
SEALSQ,MOBILITY,SOFTWARE & PLATFORMS,Unknown,"Analytics, Biotech, Fintech, SaaS",2026.0,,,Early Stage,TFLT PICs,Switzerland,,,,,
