Startup_Name,Industry,Sub_Industry,Business_Model_Type,Tech_Keywords,Year,Funding_Amount,Funding_Round,Investor_Type,Investor_Name,Country,Founding_Year,Investment_Stage,Valuation,Exit_Type,Startup_Stage
Bird,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2016.0,,,Accelerator,Y Combinator,Netherlands,2016.0,Seed,,,Active
Focal SystemsNew,B2B,RETAIL,,RETAIL,2016.0,,,Accelerator,Y Combinator,USA,2016.0,Seed,,,Active
SOUNDBOKS,CONSUMER,CONSUMER ELECTRONICS,,CONSUMER ELECTRONICS,2016.0,,,Accelerator,Y Combinator,Denmark,2016.0,Seed,,,Active
80,UNSPECIFIED,,,,2015.0,,,Accelerator,Y Combinator,,2015.0,Seed,,,Active
ZeplinSan,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2015.0,,,Accelerator,Y Combinator,USA,2015.0,Seed,,,Active
Heroic Labs,CONSUMER,GAMING,,GAMING,2015.0,,,Accelerator,Y Combinator,United Kingdom,2015.0,Seed,,,Active
X-Zell,HEALTHCARE,DIAGNOSTICS,,DIAGNOSTICS,2015.0,,,Accelerator,Y Combinator,Singapore,2015.0,Seed,,,Active
Tab,CONSUMER,"TRAVEL, LEISURE AND TOURISM",,"TRAVEL, LEISURE AND TOURISM",2015.0,,,Accelerator,Y Combinator,United Kingdom,2015.0,Seed,,,Active
PlatziSan,EDUCATION,,,,2015.0,,,Accelerator,Y Combinator,USA,2015.0,Seed,,,Active
GiveMeTap,CONSUMER,HOME AND PERSONAL,,HOME AND PERSONAL,2015.0,,,Accelerator,Y Combinator,United Kingdom,2015.0,Seed,,,Active
Democracy Earth,UNSPECIFIED,,,,2015.0,,,Accelerator,Y Combinator,Spain,2015.0,Seed,,,Active
Complir,,,,,,,,Accelerator,Y Combinator,Denmark,,Seed,,,Active
Openroll,,,,,,,,Accelerator,Y Combinator,Sweden,,Seed,,,Active
Specific,,,,,,,,Accelerator,Y Combinator,Sweden,,Seed,,,Active
ComplyDo,,,,,,,,Accelerator,Y Combinator,Germany,,Seed,,,Active
Nexus,,,,,,,,Accelerator,Y Combinator,Belgium,,Seed,,,Active
Brickanta,,,,,,,,Accelerator,Y Combinator,Sweden,,Seed,,,Active
Finto,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2025.0,,,Accelerator,Y Combinator,Germany,2025.0,Seed,,,Active
Motives,B2B,MARKETING,,MARKETING,2025.0,,,Accelerator,Y Combinator,United Kingdom,2025.0,Seed,,,Active
Moby Analytics,,,,,,,,Accelerator,Y Combinator,France,,Seed,,,Active
PowerMatrix,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Lucis,,,,,,,,Accelerator,Y Combinator,France,,Seed,,,Active
Crimson,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Parsewise,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
HelixDB,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
London,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
QFEX,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Waffle,,,,,,,,Accelerator,Y Combinator,United Kingdom,,Seed,,,Active
Artificial Societies,B2B,ANALYTICS,,ANALYTICS,2025.0,,,Accelerator,Y Combinator,United Kingdom,2025.0,Seed,,,Active
ReJot,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2025.0,,,Accelerator,Y Combinator,Netherlands,2025.0,Seed,,,Active
Stillwind,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2025.0,,,Accelerator,Y Combinator,Switzerland,2025.0,Seed,,,Active
Rally,FINTECH,,,,2025.0,,,Accelerator,Y Combinator,Germany,2025.0,Seed,,,Active
Alice.tech,EDUCATION,,,,2025.0,,,Accelerator,Y Combinator,Denmark,2025.0,Seed,,,Active
Dexter,,,,,,,,Accelerator,Y Combinator,Germany,,Seed,,,Active
Berlin,,,,,,,,Accelerator,Y Combinator,Germany,,Seed,,,Active
Argil,CONSUMER,,,,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
The Forecasting Company,B2B,,,,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
Saturn,FINTECH,,,,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Conveo,B2B,,,,2024.0,,,Accelerator,Y Combinator,Belgium,2024.0,Seed,,,Active
Plume,INDUSTRIALS,CLIMATE,,CLIMATE,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
RunLocal AI,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Tabula,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2024.0,,,Accelerator,Y Combinator,Germany,2024.0,Seed,,,Active
Quivr,B2B,PRODUCTIVITY,,PRODUCTIVITY,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
VoxOps AI,B2B,,,,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
CoCrafter,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,,CONSTRUCTION,2024.0,,,Accelerator,Y Combinator,Germany,2024.0,Seed,,,Active
Evolvere BioSciences,HEALTHCARE,THERAPEUTICS,,THERAPEUTICS,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Model ML,B2B,,,,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Metofico,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Fuse,HEALTHCARE,,,,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Parallel,HEALTHCARE,HEALTHCARE IT,,HEALTHCARE IT,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
PandasAI,B2B,ANALYTICS,,ANALYTICS,2024.0,,,Accelerator,Y Combinator,Germany,2024.0,Seed,,,Active
Topo,B2B,SALES,,SALES,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
Pretzel AI,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2024.0,,,Accelerator,Y Combinator,Germany,2024.0,Seed,,,Active
Paris,B2B,HUMAN RESOURCES,,HUMAN RESOURCES,2024.0,,,Accelerator,Y Combinator,France,2024.0,Seed,,,Active
Maihem,INDUSTRIALS,MANUFACTURING AND ROBOTICS,,MANUFACTURING AND ROBOTICS,2024.0,,,Accelerator,Y Combinator,United Kingdom,2024.0,Seed,,,Active
Legora,B2B,LEGAL,,LEGAL,2024.0,,,Accelerator,Y Combinator,Sweden,2024.0,Seed,,,Active
Healthtech 1,HEALTHCARE,HEALTHCARE IT,,HEALTHCARE IT,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Inconvo,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,Ireland,2023.0,Seed,,,Active
Tiptap,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Langdock,B2B,PRODUCTIVITY,,PRODUCTIVITY,2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Osium AI,B2B,,,,2023.0,,,Accelerator,Y Combinator,France,2023.0,Seed,,,Active
Slicker,FINTECH,PAYMENTS,,PAYMENTS,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Sourcepulse,B2B,PRODUCTIVITY,,PRODUCTIVITY,2023.0,,,Accelerator,Y Combinator,France,2023.0,Seed,,,Active
MediSearch,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,,CONSUMER HEALTH AND WELLNESS,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Capi Money,FINTECH,PAYMENTS,,PAYMENTS,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Subsets,B2B,,,,2023.0,,,Accelerator,Y Combinator,Denmark,2023.0,Seed,,,Active
Diligent,FINTECH,,,,2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Elyos AI,B2B,OPERATIONS,,OPERATIONS,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Metoro,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
HyLight,INDUSTRIALS,CLIMATE,,CLIMATE,2023.0,,,Accelerator,Y Combinator,France,2023.0,Seed,,,Active
Invitris,HEALTHCARE,DRUG DISCOVERY AND DELIVERY,,DRUG DISCOVERY AND DELIVERY,2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Z,CONSUMER,,,,2023.0,,,Accelerator,Y Combinator,Switzerland,2023.0,Seed,,,Active
Invopop,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2023.0,,,Accelerator,Y Combinator,Spain,2023.0,Seed,,,Active
Sanvivo,HEALTHCARE,HEALTHCARE IT,,HEALTHCARE IT,2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Univerbal,EDUCATION,,,,2023.0,,,Accelerator,Y Combinator,Switzerland,2023.0,Seed,,,Active
FastgenNew,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,USA,2023.0,Seed,,,Active
BuildJet,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Cloudchipr,B2B,,,,2023.0,,,Accelerator,Y Combinator,Germany,2023.0,Seed,,,Active
Bujeti,B2B,FINANCE AND ACCOUNTING,,FINANCE AND ACCOUNTING,2023.0,,,Accelerator,Y Combinator,Nigeria,2023.0,Seed,,,Active
Cosine,B2B,,,,2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
Gluetrail,B2B,MARKETING,,MARKETING,2023.0,,,Accelerator,Y Combinator,France,2023.0,Seed,,,Active
Trigger.dev,B2B,"ENGINEERING, PRODUCT AND DESIGN",,"ENGINEERING, PRODUCT AND DESIGN",2023.0,,,Accelerator,Y Combinator,United Kingdom,2023.0,Seed,,,Active
AccessOwl,B2B,INFRASTRUCTURE,,INFRASTRUCTURE,2022.0,,,Accelerator,Y Combinator,Germany,2022.0,Seed,,,Active
Aldara,REAL ESTATE AND CONSTRUCTION,,,,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
REVER,FINTECH,,,,2022.0,,,Accelerator,Y Combinator,Spain,2022.0,Seed,,,Active
JambleSan,CONSUMER,APPAREL AND COSMETICS,,APPAREL AND COSMETICS,2022.0,,,Accelerator,Y Combinator,USA,2022.0,Seed,,,Active
