keyword,2023,2024,2025,2026,share_change_pct,direction
BioTech,27.7,33.9,30.9,35.1,3.2,+
Robotics,1.0,1.7,4.1,0.0,3.1,+
GenAI,1.8,3.2,4.1,6.3,2.3,+
MedTech,3.5,6.5,5.0,3.6,1.5,+
AgriTech,0.8,1.5,1.2,0.0,0.4,=
Ecommerce,1.3,1.0,1.7,2.7,0.4,=
PropTech,1.3,0.7,1.7,0.0,0.4,=
HealthTech,4.3,2.5,4.1,3.6,-0.2,=
Cybersecurity,0.8,0.2,0.5,0.0,-0.3,=
EdTech,0.8,0.5,0.2,0.0,-0.6,-
FinTech,36.8,33.2,36.1,32.4,-0.7,-
SpaceTech,0.8,0.2,0.0,0.0,-0.8,-
Enterprise,2.5,2.7,0.7,4.5,-1.8,-
ClimateTech,16.9,12.0,9.8,11.7,-7.1,-
